EASER
topK[9000, 20000],l2_norm[50, 200], normalize_matrix=False
best: 0.08336313520994221 with topK 17599 and l2_norm 94.71018506892186
trial,topK,l2_norm,accuracy
0,15718,143.62668524720038,0.08296455583411123
1,14452,112.84115533120138,0.08306826619200855
2,17198,146.6552893451133,0.08297797695840507
3,9354,91.36132359335838,0.08226846888639752
4,10301,79.78947783210526,0.08231070078444738
5,16458,63.6481855843169,0.08261320881992602
6,19692,61.15925384550105,0.08273332636126786
7,11116,199.62975124264366,0.08201923440411764
8,13530,150.3659701403513,0.08271620970894646
9,15078,88.4340265854966,0.08318647090409739
10,12716,50.59988283180495,0.08166344480316677
11,14667,107.4797989224714,0.0831027101741219
12,18317,103.91276411879342,0.08327087818592639
13,18810,89.36120598289043,0.08328226830255485
14,19991,118.50256141276182,0.08302467228499083
15,18136,98.31960659745674,0.08326183666311276
16,18405,73.36725606495233,0.08295225753275377
17,18342,100.4551119638689,0.0833149267375218
18,16961,80.86844421380324,0.08307568081437607
19,19041,131.15107391420008,0.08316434318158397
20,17599,94.71018506892186,0.08342440366358903
21,17389,93.8138151330585,0.08336313520994221
22,17441,102.47091740257433,0.08335621667058664
23,16151,123.19538112024422,0.0829773239637013
24,17445,73.68095722523938,0.08296755310189889
25,17444,109.2416999906304,0.08329995198917182
26,15644,93.45623641137618,0.08325161487799691
27,13953,102.23883101016918,0.08314968985945571
28,16425,84.22173564813907,0.08322461236891311
29,15327,131.43206078791027,0.0830025637189423
