best -> result= 0.143953083201514, beta= 0.215173559921072, alphaa= 0.241844960130674, topk=59
best = 0.1439530832015146
topK,alpha,beta,result
328.0,0.8445217315574759,0.48493801798694325,0.11511264915312362
74.0,0.8003793644516309,0.2567145468366971,0.1353405648659456
280.0,0.9099685468506915,0.15496484878933137,0.12952778573091445
385.0,0.12564183098283022,0.0468898191601953,0.13002978280260177
60.0,0.6596231396546167,0.168045611402029,0.13895006673311575
252.0,0.2887195318884379,0.08347157484992429,0.13526238705075697
282.0,0.6741736091826911,0.38699899909531776,0.12904066488267468
59.0,0.7348634492555285,0.01650689137009481,0.13101921195399485
221.0,0.5309640766603094,0.03563207364332749,0.13498988536158094
48.0,0.23377654648844226,0.11717287483953426,0.14151517328027258
146.0,0.024781374379277965,0.26225343040684124,0.13602796942940126
6.0,0.39969885690919077,0.1491465958020013,0.1054101654081304
140.0,0.5772346578230922,0.1571522843584474,0.1394270797034187
154.0,0.26363582360353355,0.11210620908700138,0.13745656291208483
140.0,0.5013712221697282,0.20002498450097783,0.13979953280168794
104.0,0.4290710101024826,0.21375088547901322,0.14205916732905471
89.0,0.37164010554348775,0.23658346055310925,0.1425029188133661
102.0,0.4032956167945042,0.3003521105138055,0.14074408469043
186.0,0.3980521333528698,0.210809600195706,0.13922329970162076
13.0,0.5961437737556718,0.28051399013849876,0.13277193185693317
107.0,0.9993913483628153,0.3200986270592424,0.12371541198661586
50.0,0.24973971095466405,0.20499039486732495,0.14139360767632858
102.0,0.44035461879252463,0.08689807759611742,0.14079106015903306
33.0,0.3259930786716724,0.22114869947308224,0.14172845408084284
182.0,0.34452068817776577,0.2287844537312745,0.13874547976759455
22.0,0.4736688513599828,0.23605539562294084,0.13978234554210853
88.0,0.3310053557122972,0.32619225526428847,0.14056396951575023
123.0,0.1524862027950704,0.1842746391958925,0.14019154401234252
25.0,0.4774744436538388,0.2505362876051519,0.14140032012919806
171.0,0.34654894152966803,0.3561475896284747,0.1353859365248097
218.0,0.5704694264841105,0.2200284835838425,0.13650242011627287
29.0,0.23176173023756452,0.18409396769107228,0.14179067020941047
75.0,0.2055774277330548,0.19043509712889228,0.1424413440481415
80.0,0.17615743591004362,0.17673743924798552,0.14230839942274143
82.0,0.16524681311372713,0.2562485305334804,0.143519188662816
78.0,0.17437154748619565,0.26267828832722084,0.14328535456367875
399.0,0.12131550183882032,0.26911424462629924,0.1245510575163973
122.0,0.08003317964577392,0.2559554833269509,0.13870887548187472
79.0,0.20415535033571364,0.2697090717819559,0.14286531706413777
346.0,0.18091362509396153,0.28895213558202515,0.12746483777923584
60.0,0.11585724206861117,0.41918999792399686,0.13466510990919034
75.0,0.20930318787673577,0.2509781624362344,0.14242379662199295
69.0,0.2733159996619292,0.24110897831333455,0.14179689821128322
41.0,0.19653025399383522,0.28542311470553644,0.14177045538750097
86.0,0.06443704229442532,0.3111562206953675,0.13821013686829664
123.0,0.1552648562785287,0.26816094266853996,0.13918545141205044
296.0,0.28643124387746205,0.23560947585847491,0.13229323016156824
61.0,0.2226610777820949,0.15503712088741534,0.1425870939061083
