{'topK': 350, 'alpha': 0.2891690640441663, 'beta': 0.3346181958629198}
best -> 0.4591728122478471
topK,alpha,beta,result
381.0,0.8679740711018721,1.3476168266662167,0.044866124854992064
338.0,1.2262626654883828,1.813896927479022,0.03253613505362079
916.0,0.3411607371931574,0.8147468643365819,0.15758348045850576
143.0,0.17700906005524264,1.743987062397176,0.02382691939022913
564.0,0.4829331258947621,1.9784889401702574,0.023838526042685514
178.0,0.6308089310925163,1.2329285539939954,0.045136051804005345
740.0,1.1521092037876945,0.9318862689701505,0.12463452814744816
173.0,0.6271317612846186,0.20767078279627538,0.42231195606074007
705.0,1.214671988612809,0.8392948116589803,0.17029256277572546
824.0,0.5596972907948659,0.5214051488607004,0.42514372076231943
980.0,1.712262871662983,0.02485734446170873,0.3781384210960492
27.0,0.1329526132165531,0.26678338391305173,0.3511923527881686
526.0,0.6206578460645886,0.45193991601242733,0.4405753991821558
773.0,0.84497403241871,0.5065666002323624,0.41176932626098933
565.0,0.05838504106137177,0.5366077068864,0.4009785638557196
413.0,0.37071393493786053,0.5381744558731144,0.4214721672084532
831.0,0.6948522339707895,0.6593022461437309,0.3490960783316758
593.0,0.3892815497097144,0.36030155933526176,0.453080478077303
612.0,0.014196042293465938,0.2635586345166555,0.44730746858121634
655.0,0.010697275308161003,0.0013429086394016188,0.42968673640124094
459.0,0.277244149331884,0.2976021216335982,0.4573475670295015
457.0,0.25076491293831293,0.26711075425024416,0.4573881032486704
434.0,0.26142858713028144,0.24778063015712506,0.457073200830047
459.0,0.23698051468506656,0.13686186456554175,0.45077394900681356
295.0,0.3007672419801371,0.3441142840250949,0.4580992378213637
308.0,0.4051918603124963,0.3454867599337724,0.455924575865145
259.0,0.24622184426954663,0.6924982596988662,0.29045289123119306
278.0,0.1640092463286847,0.10799642761764897,0.43217815504915336
480.0,0.48136425223493196,0.3772791290512154,0.4531547415336793
361.0,0.8222394085024496,0.13136852738983582,0.42068741409865
32.0,0.3002521748348195,1.071936458458411,0.047742566595632266
416.0,0.2345505778246848,0.23073421182921,0.45664125696647945
381.0,0.11167234584123678,0.3416853963478159,0.4522954518176752
232.0,0.31469934528021526,0.6615684723414783,0.32877555088123167
460.0,0.4773612007519544,0.16615667305655196,0.4511404633023503
513.0,0.15871466416984112,0.4222031059443591,0.4406968279042769
359.0,0.3089732104495365,0.009068056953298376,0.42149856796475754
105.0,0.4169601857431987,0.2969743482718165,0.4312009796629741
214.0,0.7369735013491159,0.20068791339536532,0.42058308651757553
305.0,0.5373487250497251,0.4281032916880887,0.44514576867293293
435.0,0.9359366346945828,0.6090130722512486,0.35809415386578203
410.0,0.2719708625511484,0.26814018016583785,0.45775391161273116
528.0,0.0976072681175936,0.2847992746072798,0.45144514702945815
334.0,0.22840413853595637,0.14282534461506463,0.44560172639413487
402.0,0.4654124627343079,0.43673551165783936,0.4471675965780534
659.0,0.34571563746739836,0.07695451430680572,0.44808777167375125
491.0,0.5317486316013923,0.19785950264407284,0.45225813709025503
547.0,0.12498689756674386,0.7641236282042434,0.17918414610092415
