{'topK': 176,
 'shrink': 55,
 'tversky_alpha': 0.42969947786319157,
 'tversky_beta': 1.7452154107165392}
 KFOLD -> 

topK,shrink,tversky_alpha,tversky_beta,result
173.0,57.0,0.448627760927619,1.6706373391173206,0.43053596799045385
171.0,65.0,0.43471893144979246,1.7223454287673656,0.4295060215045685
171.0,49.0,0.4641884313682678,1.6607759950895618,0.43115090124409816
182.0,62.0,0.4218452829536219,1.6790903014831338,0.42938999166002806
183.0,63.0,0.4509276346953143,1.7121340392849451,0.4291392138080697
193.0,46.0,0.4542964602038,1.7416713181777326,0.43031949507354256
174.0,54.0,0.4367848519214642,1.687528908975115,0.43132593482473514
180.0,62.0,0.4522096924601818,1.749859706612228,0.43023177237080357
188.0,59.0,0.45738279733141685,1.7371201294113028,0.42982419620959117
191.0,57.0,0.4633279910310773,1.6383241635377954,0.4289273782772315
198.0,53.0,0.43960371874981125,1.6988000333620725,0.43009175607973393
176.0,50.0,0.4699899326579719,1.6610429929108785,0.43102381404901163
170.0,50.0,0.44221051004028245,1.6941844290188324,0.43129437480900823
177.0,53.0,0.4417311337141819,1.696102373001332,0.4315484112009434
177.0,53.0,0.4303207513011687,1.703723688899719,0.43154441844182145
179.0,52.0,0.42968248556492716,1.7083121374927437,0.43099259215374497
178.0,45.0,0.44383291916674733,1.7244734833004998,0.43050181084255656
185.0,56.0,0.432278034029779,1.705381130460312,0.4302034166283328
176.0,48.0,0.42909044620115244,1.6904606918774532,0.4309760452072649
187.0,52.0,0.44564533580761245,1.7163442847019466,0.4308544421256628
182.0,59.0,0.4388219460134194,1.6997779138350755,0.4299684958803166
174.0,54.0,0.4357981110097947,1.685985184508117,0.4312910166201575
175.0,55.0,0.42506388072005397,1.6856615955228842,0.4311240408427706
178.0,52.0,0.4373934823562378,1.7038511847061357,0.4309876781589315
173.0,54.0,0.43171001596359077,1.6943892196324168,0.43106435906701585
177.0,58.0,0.44087868135714287,1.6788666181132905,0.4302179365425676
180.0,51.0,0.4456807062711922,1.7137175230743293,0.43038370965540695
173.0,48.0,0.43515049316724574,1.6994958882318572,0.4310433568539826
184.0,55.0,0.4275591403187854,1.70604943240235,0.4310175465499504
181.0,56.0,0.4471050709523976,1.6742944256095191,0.4297376713138206
200.0,53.0,0.4410734462215306,1.689045487041591,0.4300166916352102
170.0,50.0,0.4411051305907119,1.6952907856709944,0.43135048717152896
171.0,50.0,0.434457200466668,1.6949506314947658,0.4311510343448327
