{'similarity': 'tversky', 'topK': 19, 'shrink': 58, 'tversky_alpha': 0.4887535976845104, 'tversky_beta': 4.914103478159176}
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
90,0.10359997175756373,tversky,931,71,,,0.13380448042818488,2.4003336868187954,,
91,0.13402546240574073,tversky,25,110,,,0.7127092747941417,3.2228815716242987,,
92,0.13756752179410625,tversky,22,113,,,1.0762541497339355,4.626878432864744,,
93,0.1323474270872269,tversky,63,99,,,0.2868545298332852,4.089743482159626,,
94,0.13042158565440576,tversky,69,112,,,1.1788670726124122,4.654027334146546,,
95,0.03953120968634378,euclidean,12,77,,False,,,False,exp
96,0.13697672263695507,tversky,20,125,,,0.6588045446125477,4.66437398775328,,
97,0.12169922528180283,tversky,122,197,,,0.6584760673098644,4.66615960676085,,
98,0.12923702070333365,tversky,86,124,,,0.3862665281483303,4.655721285634496,,
99,0.13321090536894742,tversky,50,93,,,0.692970369024721,4.152565653131195,,
100,0.11681736610331406,tversky,760,134,,,1.1126268904551901,4.673184945516823,,
101,0.13734662861865757,tversky,17,105,,,1.1978791199800323,4.80565836856489,,
102,0.1374111019010355,tversky,13,106,,,1.154430201890661,4.997840693356895,,
103,0.09272119766240773,tversky,1,104,,,1.191652915745166,4.954943467453432,,
104,0.13696142817809848,tversky,20,118,,,1.1931412289252212,4.76278284850143,,
105,0.13203509894070853,tversky,51,126,,,1.2258655663291715,4.792771643214604,,
106,0.11871207588512142,cosine,20,118,,,,,,
107,0.11970802240151827,dice,590,105,,,,,,
108,0.12687875731635667,tversky,95,120,,,1.2276374204704041,4.9834923407769605,,
109,0.13368579168315212,tversky,54,86,,,1.002053107956715,4.786493574170853,,
110,0.12858696368199,tversky,75,112,,,1.573908037092329,4.820246970811598,,
111,0.13706164261122736,tversky,19,113,,,0.8196081721529551,4.655560631989125,,
112,0.13749677855021375,tversky,17,109,,,0.8156509269698899,4.769948340781851,,
113,0.13657323959024958,tversky,17,127,,,0.9068517268679082,4.336150923734349,,
