{'topK': 25, 'shrink': 51, 'tversky_alpha': 0.8124063348128021, 'tversky_beta': 6.7297971145367015}
best = 0.14067279772604566
topK,shrink,tversky_alpha,tversky_beta,result
8.0,52.0,0.7167923030041868,6.877780439647888,0.13526976162397733
32.0,44.0,0.835630509767507,6.663929977426088,0.1380593900333806
17.0,57.0,0.67878223006765,6.535153758498851,0.13941403173691283
35.0,119.0,0.7544896999439573,6.11150771624763,0.13674713113083342
19.0,54.0,0.7932446530576959,6.341447032216672,0.1396976316102018
25.0,62.0,0.7943305229234141,6.345237434250158,0.1395756957215684
20.0,67.0,0.8818262604764274,6.7550323059999835,0.13909894367761155
23.0,59.0,0.7203061679810675,6.439849576076464,0.13997510705157137
30.0,78.0,0.7220074308005889,6.534640964017049,0.13831143759179443
23.0,59.0,0.7599711676723361,6.687751726207015,0.140308130658761
28.0,59.0,0.8354831222914807,6.992952050963456,0.13896649081550658
22.0,62.0,0.6934107268587658,6.887714329672102,0.13946138420229381
25.0,51.0,0.7299377679424134,6.4420576569855506,0.14011991284165062
24.0,50.0,0.6303243649450774,6.696931936630948,0.13924237738762485
26.0,56.0,0.7209738668058734,6.431878726665678,0.14037246139207685
56.0,39.0,0.7277953257739457,6.470623735673343,0.1373235920860574
27.0,31.0,0.6701995827293155,6.579628568741282,0.13825096830030176
38.0,45.0,0.7563411421259753,6.787846952533514,0.13817002092734015
33.0,58.0,0.7111972251213405,6.475420563808955,0.13816002617647768
24.0,63.0,0.7676942504621815,6.233289958906676,0.13944566600737374
30.0,49.0,0.6504582136600113,6.697471822727465,0.13888008359984605
22.0,72.0,0.6943833312160977,6.264414556398394,0.13941989724726675
15.0,65.0,0.7475212448348877,6.90387936811666,0.1394143383573521
25.0,41.0,0.82589444651661,6.14850356904987,0.13937794758209063
42.0,56.0,0.7366805689056166,6.577431927521363,0.1380005299202932
20.0,54.0,0.8184739813895819,6.431545977757642,0.13985030371696908
21.0,61.0,0.7661097101732506,6.413644087920702,0.13971058860103555
26.0,52.0,0.7898718402029106,6.781377355441298,0.14005446661373694
48.0,51.0,0.7757454124711697,6.774663687925411,0.1384820460900339
26.0,68.0,0.733919890424078,6.65410472942252,0.1398064710589453
