{'similarity': 'tversky',
 'topK': 186,
 'shrink': 49,
 'tversky_alpha': 0.457927493309229,
 'tversky_beta': 1.7403219296132904}
best -> 0.4333118755316039
KFOLD -> 0.4638778337724706
similarity,topK,shrink,tversky_alpha,tversky_beta,result,normalize_avg_row,similarity_from_distance_mode,normalize,asymmetric_alpha
asymmetric,335,26,,,0.42237105091404115,,,,0.3790350260608406
asymmetric,371,6,,,0.3595188032093139,,,,0.22871042090498767
asymmetric,300,24,,,0.41956315201218625,,,,0.0777135642916308
asymmetric,414,15,,,0.41870638931515314,,,,0.20123509868786707
dice,496,37,,,0.4123876175743775,,,,
asymmetric,395,29,,,0.4285612161864499,,,,0.18794326142170986
asymmetric,356,42,,,0.4187253384224242,,,,0.3065525809953844
asymmetric,389,29,,,0.4277885255036018,,,,0.2115155391528033
asymmetric,454,19,,,0.41721981314507284,,,,0.05745573887580627
asymmetric,424,35,,,0.42592630104721085,,,,0.1834793224577588
asymmetric,321,11,,,0.36463595033533347,,,,0.048088237479984725
tversky,943,22,0.7464791993276889,0.2399280644226478,0.4008675299521924,,,,
jaccard,348,49,,,0.41413756421568765,,,,
asymmetric,399,28,,,0.42390307779277486,,,,0.32560554691454346
asymmetric,374,33,,,0.42887455319236567,,,,0.14605852014392326
asymmetric,363,41,,,0.42536094834863436,,,,0.13898938294211866
asymmetric,373,34,,,0.42593175578355474,,,,0.20665505527190486
asymmetric,415,24,,,0.42425079365401897,,,,0.0493922843843707
asymmetric,465,30,,,0.42812646494699885,,,,0.1538322317031088
cosine,441,17,,,0.41584704111215776,,,,
asymmetric,392,118,,,0.397927289750969,,,,0.251064653035338
euclidean,306,45,,,0.038814938980709056,True,exp,False,
asymmetric,344,35,,,0.4284095162075348,,,,0.06032749578497504
asymmetric,333,34,,,0.42693067025010406,,,,0.007264110353221401
asymmetric,352,37,,,0.42758269029170176,,,,0.11399831002702682
asymmetric,384,25,,,0.4297843488514831,,,,0.1776931584009652
asymmetric,272,29,,,0.422494195408784,,,,0.051053057791803164
asymmetric,424,21,,,0.42666528419272953,,,,0.14391731876460767
asymmetric,379,32,,,0.4279594177649656,,,,0.18826213538650072
asymmetric,440,40,,,0.4250620496838667,,,,0.10668400978537523
asymmetric,402,55,,,0.4209835983909758,,,,0.06308692161451367
asymmetric,484,47,,,0.41991451382333816,,,,0.16052845490288686
asymmetric,337,17,,,0.4230324127952271,,,,0.29579182056717346
tversky,365,13,0.026169336185384973,0.009123983971258465,0.376594508452534,,,,
dice,289,26,,,0.41738599822996303,,,,
asymmetric,380,23,,,0.4286919996344291,,,,0.20310126206150025
asymmetric,405,22,,,0.42514074891313947,,,,0.09960357462092127
asymmetric,380,31,,,0.42830785645949315,,,,0.17798027728815358
asymmetric,378,29,,,0.42814356936740977,,,,0.19740992972445653
asymmetric,426,25,,,0.4249994543475325,,,,0.03480436411735262
asymmetric,455,10,,,0.37870187169924824,,,,0.10658705630634185
asymmetric,406,38,,,0.42573865832529995,,,,0.14789354619398673
asymmetric,329,33,,,0.4255989937878438,,,,0.27517390102733663
asymmetric,381,19,,,0.42657320812715926,,,,0.2173688744747604
jaccard,351,29,,,0.4167881620568307,,,,
asymmetric,308,34,,,0.42778577499986287,,,,0.16433260346979206
asymmetric,433,42,,,0.425498112676826,,,,0.04635715636869686
asymmetric,356,27,,,0.4294112424401535,,,,0.11008002871946367
asymmetric,373,24,,,0.42820231218444577,,,,0.11353243921994599
asymmetric,408,138,,,0.39624918908513046,,,,0.081810134086913
asymmetric,349,17,,,0.42360806238610726,,,,0.2394421135845226
asymmetric,470,27,,,0.4260725238134638,,,,0.0019262041075054706
euclidean,324,21,,,0.3222081985064558,False,log,True,
cosine,389,34,,,0.4132134525266716,,,,
asymmetric,445,30,,,0.4284074512175153,,,,0.140630302092441
asymmetric,450,30,,,0.4283552066047675,,,,0.13813873056963322
asymmetric,508,38,,,0.4250549745802083,,,,0.12870000363028325
asymmetric,451,27,,,0.42859358719198004,,,,0.063426486471592
asymmetric,428,25,,,0.42705572433526795,,,,0.05267359806320246
asymmetric,476,13,,,0.39746319909896194,,,,0.07999363210465785
asymmetric,412,162,,,0.39261827028747254,,,,0.030527416651619982
