SLIMen con rimozione 10% outlier item, log heuristcs. Step 1 di ricerca hyperparams.
topK [0, 1e4], l1 [0.0001, 1], alpha [0.0001, 1]
best: topK:6057.0 l1:0.17931851264121895, alpha:0.007032424930300668, accuracy:0.0875438582492453
topK,l1_ratio,alpha,accuracy
7418.0,0.2798756108642359,0.043691874325077776,0.07924232242400973
5830.0,0.22296917580279269,0.11064669696253922,0.07296860405221631
6599.0,0.5202949454339872,0.048847324408058314,0.07375466236096115
8487.0,0.24089853718606424,0.00039091912348880424,0.07152513497331772
8887.0,0.3047882735991199,0.08048152489766924,0.07337800102113667
9587.0,0.15516425530750955,0.11727047727569155,0.0751746060707741
4747.0,0.11546355262451555,0.032930878797681806,0.08532857536226116
5030.0,0.10870418936940762,0.1728521668648847,0.07423013992688937
4009.0,0.25635850840538155,0.03722006427756925,0.08075976407356016
448.0,0.1657393208880197,0.03036813130512312,0.08437243406802773
7131.0,0.05437311951223088,0.07907460194756745,0.08303644931442965
1846.0,0.11756225522219513,0.000786357490537546,0.07462950752516259
7819.0,0.03231238774713281,0.11463657413558626,0.08279599951560973
8300.0,0.0319242374026642,0.0575701298036536,0.08577881333579057
4581.0,0.20126681188907652,0.05438794003045531,0.07972345444908881
8296.0,0.10398797343248108,0.026872336115309602,0.0862727855676284
8310.0,0.040402418719143664,0.08823673751842717,0.083414544075833
9604.0,0.09522468752263784,0.15354154210872506,0.07598971952259484
8750.0,0.08844694233860462,0.028708665305949753,0.0864623961174607
8774.0,0.002286323669038748,0.02690338956915086,0.08672689404549593
8972.0,0.0026017748369498886,0.023425932990833634,0.08666709058410707
9709.0,0.017098185222626683,0.01861425733821851,0.08730495840322565
9094.0,0.015966748583178647,0.0935908700447794,0.08471791947738473
9845.0,0.05134943673860032,0.13412132093154128,0.08010065676072887
8952.0,0.02793242465971432,0.0006516829135891564,0.07179400182323618
9455.0,0.011729632335827078,0.06566445875848051,0.08619678660366585
7883.0,0.0022954359582189154,0.01962974519361676,0.08652415437967761
8693.0,0.07609355090968667,0.0593653862065451,0.08342005309915354
7623.0,0.14708549624980943,0.12499089035018773,0.07494547477106817
7972.0,0.009674437298201,0.02619813660485208,0.08730064329423783
7293.0,0.002506848180345523,0.022690699018587182,0.08656729343289508
9281.0,0.05315592951714008,0.09514736705847104,0.0821570443588165
9785.0,0.3296957485136963,0.05824609536864152,0.07566272924710771
6820.0,0.07297061505591929,0.019340024886848318,0.08745211703712513
6836.0,0.0768133405867902,0.07771437677611967,0.0818199012287579
6328.0,0.12946428972406387,0.051010318733922574,0.0820564552645368
5765.0,0.21447867913531976,0.09958531700985752,0.07412053589868571
6003.0,0.1774683833029656,0.0013637277588914028,0.08087788229908027
7081.0,0.04359333472495851,0.15950210503975448,0.07964275077108296
8018.0,0.0635526932788773,0.020082342421132396,0.08744257178650784
8103.0,0.06670801058134156,0.02344577872284387,0.08738228810722487
8139.0,0.09038410213654223,0.0509960110364716,0.08386299118831672
7764.0,0.15228445693558396,0.07274131145872229,0.07933018811220932
7283.0,0.2804515823515014,0.03802944216056641,0.08022377044674321
6743.0,0.12447714591265799,0.01858387723690635,0.08707007724344705
6579.0,0.12724872346263447,0.020580386566203368,0.08671488485272366
6830.0,0.0660277041660998,0.1349382840356341,0.07906647620117457
6175.0,0.17152459060520048,0.10408573626953857,0.07549397357902111
