SLIMElasticNet senza nessun preprocessing sulla URM (step2)
topK[1, 1e4], l1[1e-5, 0.25], alpha[0.0001, 0.007]
best: accuracy: 0.09496881350867226, topK:9414, l1_ratio:0.03713762600271293, alpha:0.0015919486906757787
trialid,accuracy,topK,l1_ratio,alpha
0,0.08741803945065774,7397,0.08176845957277913,0.004645182151790772
1,0.09254394090249587,6097,0.04856511741988056,0.0006683962692563554
2,0.09459202558603004,7418,0.03595633770119111,0.002582978169780214
3,0.08909160718494691,2592,0.061050423389678775,0.004757635033075156
4,0.0851008890435893,1963,0.07971918767888835,0.00585964705741267
5,0.0925226534853012,8705,0.16161018790116463,0.0014383483440143746
6,0.09351986483180931,5390,0.09318168211299635,0.0017634077815538566
7,0.09451079654819894,1645,0.15445114199158955,0.0007163229585396074
8,0.09151879370635549,5041,0.048304007348903555,0.004130489586170392
9,0.07331783442294146,6749,0.21490715088221463,0.006071664294890234
10,0.09286372805471049,9541,0.0002653631596427966,0.0030878483915717193
11,0.08942067342585178,358,0.14428742830347718,0.0024287787497184335
12,0.09413988633492684,3962,0.1824962881021986,0.0008045259996111091
13,0.08529651247581897,3336,0.13255243829870111,0.00018087726775860204
14,0.09041531094378241,71,0.11504802305151908,0.0024826242416896424
15,0.08969841338747234,7918,0.23774282159248253,0.0015474233104378933
16,0.08427219394181715,1406,0.17393325409258212,0.0033739907582249883
17,0.08496171647841654,3959,0.11294372683915356,0.00019098954385143863
18,0.0940830458321399,8309,0.012982109176138748,0.002231797805885502
19,0.09410048127836798,6550,0.026787871543526347,0.001245854874913641
20,0.09106405374987961,9773,0.09856885995226965,0.002814322896557171
21,0.09413447594866724,3684,0.1843290925560319,0.0008013946747317331
22,0.09126899881817732,1485,0.14592454568298358,0.0019167687677727916
23,0.09353536286531705,4145,0.19912592015927455,0.0009785863866205557
24,0.09128792382997339,2750,0.15528249940841296,0.0018195795054071675
25,0.09435490166714734,4694,0.1255450443737393,0.000778331093063819
26,0.09336708466203106,5615,0.12695286865581254,0.0004954339450544201
27,0.0943946079362409,4638,0.1326913994611852,0.0011204018935468808
28,0.092132902427791,7113,0.1087117468996531,0.002138558229412002
29,0.09473477599256257,7728,0.08615839636109349,0.0012765382961243436
30,0.09479183363398838,7708,0.07751858004690254,0.0014047930393773127
31,0.09474091481286641,7719,0.07630142288474245,0.0012484513710475534
32,0.09473038446483892,7772,0.07429888595402069,0.0013141635211080256
33,0.09474412588368324,9078,0.07440783917674655,0.0014566035753257678
34,0.09457678313293962,9027,0.06462726160759547,0.0016285972924068991
35,0.09311553592064827,8975,0.08771601528315495,0.002080885239533815
36,0.09464325794173453,6130,0.07315433257211394,0.0012699651820339169
37,0.09355213440318949,8314,0.051920191371086846,0.0027255989495403934
38,0.09126298972464178,7437,0.08018570726298005,0.0004382779002691952
39,0.09357551166500387,9168,0.0980082250703364,0.0016782373071059934
40,0.09477132266435212,9963,0.060057433923491804,0.0010985255597367174
41,0.0947752594537633,9837,0.058776792863678345,0.0011217200045430778
42,0.09446879784805959,9953,0.060484431480293144,0.0010012681711387683
43,0.09496250817891469,8410,0.042361056361617994,0.0015099776709639706
44,0.09496881350867226,9414,0.03713762600271293,0.0015919486906757787
45,0.09478537554755413,9433,0.03956650787351639,0.0019064627409156225
46,0.09473741640648432,8544,0.04019412862579323,0.001964326062374857
47,0.09487247488508789,9438,0.030300332108648437,0.0016037574125338729
48,0.0947757194425591,9465,0.030940354865277,0.0018061927980715564
49,0.09456099299757996,8666,0.0418348976156073,0.0023223900414622105
50,0.09474653239236391,8173,0.0217744385460865,0.002360067020265344
51,0.09475545736824895,9311,0.031103581152560955,0.0016906516255339827
52,0.09476298201510037,8740,0.03772047933491054,0.0019140464154249466
53,0.09375090068663354,9473,0.014997754677273368,0.0015142142177950665
54,0.09415541293101708,9463,0.0469765957711003,0.002565245234403806
55,0.09489416009070464,7061,0.032386716652373394,0.0021282794522491195
56,0.09445314996759188,7042,0.04820517518219065,0.0021548480426887874
57,0.09330981180718041,6507,0.00307070262577791,0.0029626345773325876
58,0.09480129540436574,8121,0.023749325639338674,0.0025604758140583828
59,0.09475421823474797,8125,0.022280105650637805,0.002713843995906331
