trialid,accuracy,alpha,beta
best -> 0.08028442378047912, alpha = 0.442949599358078
hybrid similarities, alpha * slim + beta * rp3_beta + (1-alpha-beta) * knn,
NO TOPK
154,0.080020117,0.413161627,0.178858792
24,0.080019841,0.582130708,0.15803445
55,0.080018881,0.562792929,0.187755212
40,0.080018324,0.287890389,0.289574238
75,0.080016849,0.336063348,0.275304731
105,0.080015209,0.412137058,0.182296833
34,0.080002993,0.335854942,0.278199239
135,0.080000136,0.410473171,0.193604278
173,0.079987119,0.41219784,0.173371832
147,0.079983344,0.396009783,0.186162128
51,0.079982493,0.385808123,0.194496294
11,0.079965463,0.651139175,0.117824945
157,0.079957871,0.401594376,0.190288656
49,0.07995762,0.311409495,0.253002455
17,0.079954201,0.405080533,0.179167187
190,0.079948353,0.398304925,0.190676161
57,0.079937408,0.584761009,0.233511208
12,0.079913467,0.648481271,0.113821253
142,0.079854273,0.378078297,0.174444424
27,0.079803971,0.598355145,0.086160084
70,0.079780446,0.627386781,0.2212264
13,0.079780443,0.682736447,0.112202946
14,0.079760817,0.408133267,0.144697926
5,0.079701366,0.599219915,0.050130852
19,0.079695384,0.31623582,0.209098657
64,0.079666025,0.386379194,0.154375867
15,0.079648769,0.725718771,0.110585155
160,0.079622637,0.375931813,0.158057684
26,0.079606242,0.729230631,0.136955374
46,0.079568936,0.222820315,0.338530937
80,0.079566142,0.377409741,0.153860883
89,0.079564825,0.352721649,0.168175524
117,0.079537089,0.351660236,0.163867368
8,0.079374487,0.639857407,0.339321063
59,0.079265994,0.361368357,0.136964212
3,0.079261893,0.532758783,0.425247317
9,0.079218509,0.801471214,0.074042514
0,0.078863524,0.457976247,0.021878436
1,0.078764203,0.870812575,0.051939338
2,0.078756,0.870155036,0.059517055
4,0.078507418,0.155500555,0.257317858
10,0.078286652,0.261122552,0.632368644
6,0.077648874,0.976818329,0.012263082
7,0.077552183,0.986284635,0.013114558
20,0.074859705,0.002577213,0.940759615
