Trial,SLIM_w,RP3b_w,ItemKNN_w,Accuracy_val,Accuracy_test
0,0.3160259968363524,0.34908907760975655,0.3348849255538911,0.0781321971366291,0.09458332336665659
1,0.3352442074193903,0.2678048361346706,0.3969509564459391,0.07833673248642899,0.0944691270202688
2,0.010430411347819538,0.3673485380255224,0.622221050626658,0.0754646156139965,0.09007057140238564
3,0.4567433057344608,0.38773103733100533,0.15552565693453385,0.07815200764632714,0.09468897803149486
4,0.5106268146702291,0.09287070537326444,0.3965024799565065,0.0778399336621111,0.0943070631318142
5,0.8579745110456993,0.022471864103009036,0.11955362485129165,0.07700309475814571,0.09432879338659768
6,0.2704352275345537,0.09839933186264131,0.631165440602805,0.07698888978693896,0.09195952351079319
7,0.7169708868431252,0.16557109042537732,0.11745802273149758,0.07825445255932066,0.09512013240280567
8,0.2997152521476784,0.4972316994969421,0.20305304835537946,0.07755920075558446,0.09409238708454043
9,0.41028091799325983,0.5525669682116557,0.037152113795084575,0.07677952428592041,0.09351463797537936
10,0.32276946676852447,0.4099622062763972,0.2672683269550784,0.07811867752476152,0.09454216703932822
11,0.4951821221947712,0.4067923085816496,0.09802556922357909,0.07790614382170818,0.09451417404640777
12,0.42065816102804865,0.05704090840200103,0.5223009305699503,0.07767837276644932,0.09321846011288197
13,0.4161482318910743,0.24869100401167113,0.33516076409725465,0.07840939290078283,0.09495469062370174
14,0.4162637576903222,0.13981321631169202,0.44392302599798583,0.07817857063345712,0.09430270169741009
15,0.34444862303708385,0.2430892876382762,0.41246208932463985,0.07826299408478084,0.09438026245750379
16,0.21537128485481602,0.25780834909085104,0.5268203660543329,0.07769401884864806,0.09328138657235473
17,0.3051930826086261,0.27475200948671347,0.4200549079046605,0.07817697610694342,0.09424998286983835
18,0.18462245809230232,0.4540171323779085,0.3613604095297891,0.07743470249866534,0.09341551882215966
19,0.3317686663017374,0.2493914720941974,0.41883986160406517,0.07828767849191422,0.09435994048684791
20,0.2644755261891736,0.42886941458322086,0.30665505922760555,0.07789118726951323,0.09418973452163244
21,0.3548431675747559,0.2425899036816373,0.4025669287436067,0.07838260098797066,0.09447425840743356
22,0.34854224043895565,0.2776507250868404,0.37380703447420394,0.07828456660321535,0.094678393064102
23,0.4244692964383835,0.1554279781914312,0.4201027253701854,0.07824860700508333,0.09445440855112656
24,0.32445856930969147,0.3957775684624868,0.2797638622278218,0.07821448471069789,0.0945642047091436
25,0.5078398977135922,0.18956213988995707,0.30259796239645065,0.0784387232812358,0.0951263365780057
26,0.5434829847563577,0.184634429524213,0.27188258571942936,0.07833819336465524,0.0952788533956999
27,0.623795524390872,0.13030899386033276,0.24589548174879525,0.07826526764152146,0.09521641263050087
28,0.3841454553198141,0.2580523637697739,0.357802180910412,0.0783266158474767,0.0948045031944673
29,0.5900914662281399,0.14284245936786819,0.267066074403992,0.07843737325135612,0.09523312146364953
