First optuna run.
Version 5 of notebook XGBOptuna (Federico)
best -> 0.06581986324568043 and parameters: {'cutoff': 126, 'n_estimators': 143, 'learning_rate': 0.05382819480164889, 'reg_alpha': 27.94649085796498, 'reg_lambda': 1.5570444597506696, 'max_depth': 8, 'max_leaves': 5}
cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,result
474.0,111.0,0.00010111172468287065,35.34823732076417,0.0014684676378012272,2.0,6.0,0.0633987858761311
245.0,134.0,0.044050149321178816,32.20238622011943,2.127812081239337,8.0,4.0,0.06447758990003119
298.0,137.0,0.006540785664909671,0.21794755071075667,0.19371580235286853,8.0,1.0,0.025640476968213227
62.0,131.0,0.0029123276506449053,0.006555417680719341,5.822072580402441,3.0,1.0,0.029718820460646982
365.0,65.0,0.0003925695392337606,1.01700423756076,1.577003791821971,8.0,3.0,0.051346912402793744
419.0,74.0,0.00026835165128621084,0.06723462119784265,4.490020075790576,7.0,1.0,0.02449657371965458
480.0,123.0,0.0007349037999292415,0.1338911280069591,20.416911702616428,7.0,7.0,0.06236537181855235
169.0,84.0,0.00010439891160961554,35.497278191966025,0.005567761700449163,4.0,1.0,0.029610688099049782
185.0,105.0,0.06914749048534843,0.9475750995806183,0.0023171443213456234,2.0,6.0,0.05741897539205634
312.0,140.0,0.028869743656473795,8.678987963782024,0.20319312747150772,4.0,7.0,0.06327012585719033
211.0,48.0,0.012246105516323873,0.0011180163805859632,0.030096533979703053,10.0,10.0,0.058346743414262714
499.0,109.0,0.0017569858421853431,94.8550407773288,75.49091553047458,1.0,4.0,0.054175610577529475
88.0,117.0,0.07427583476106772,6.844548396733864,0.024992621428103635,10.0,9.0,0.06421610147400827
37.0,147.0,0.09755339440675038,5.337292234405066,0.021556163843565238,10.0,10.0,0.06341871545496257
136.0,122.0,0.029404364755425034,5.166415509142686,0.7970668374719356,9.0,8.0,0.06148193070190208
96.0,95.0,0.033986622797819964,1.9000289072336412,0.03471840280095612,6.0,3.0,0.05810723312855494
239.0,119.0,0.01006260847776914,18.27090727851125,0.07182185250372823,9.0,9.0,0.06320419137050226
134.0,149.0,0.05195298031755849,70.09180182637444,0.6780877702171529,6.0,4.0,0.0653953544678491
273.0,150.0,0.017538527700934007,69.97963012204842,0.657281242118048,5.0,4.0,0.061548453208456706
138.0,131.0,0.005527229088236253,0.03553524217236522,5.283927607814683,6.0,3.0,0.05622021340882392
337.0,92.0,0.042144244649182185,1.9440703353915836,24.736572289246485,7.0,5.0,0.06140708418960033
93.0,138.0,0.05836482854211568,16.537188012349688,1.4826863107890185,9.0,5.0,0.06544143404306864
126.0,143.0,0.05382819480164889,27.94649085796498,1.5570444597506696,8.0,5.0,0.06581986324568043
127.0,144.0,0.018175521124614888,16.15040012199587,0.3582689638142091,9.0,5.0,0.06455397619043655
92.0,150.0,0.06121161370175049,83.59264156179101,1.8628577777490638,5.0,6.0,0.06543932001821105
33.0,127.0,0.018803934467138052,14.275189637012332,13.854725098933553,5.0,6.0,0.06432519254614122
87.0,140.0,0.08448081758483433,2.333118056391051,1.555955192499745,8.0,7.0,0.05936510760160358
179.0,141.0,0.007773335130540572,98.02463328915911,3.1032330927234795,4.0,5.0,0.06188640730929292
72.0,150.0,0.0030622596756476896,0.4528056173955264,8.476126206065691,7.0,2.0,0.062148295204887224
111.0,112.0,0.02018402976450969,31.784261560333444,65.51202365783088,9.0,6.0,0.06510777787652347
165.0,129.0,0.05198848309063052,35.97997389010876,0.09523909487210737,5.0,6.0,0.06509747014810968
135.0,150.0,0.048849113720355,53.02676174590477,0.6530297502441328,6.0,4.0,0.06521681932929255
222.0,138.0,0.05866382423246907,19.99769815515991,1.8571018788765308,6.0,5.0,0.06477595713336627
70.0,135.0,0.029862358785481453,10.404086093983718,0.4103659744332789,3.0,4.0,0.0643762874737464
47.0,145.0,0.09696564213074961,37.966505999235565,0.791918270976417,8.0,7.0,0.0649571353618082
109.0,134.0,0.04766643911935378,60.018462958355855,1.3532723560728204,7.0,2.0,0.06499433478022648
150.0,126.0,0.004592066082185737,3.530825387203511,0.17648629318416884,8.0,3.0,0.0561393638081626
197.0,143.0,0.0010994782179427605,23.56840738045964,2.9996991174840866,3.0,5.0,0.061325588025125964
433.0,135.0,0.011367817155638135,0.01343479247164156,9.177822415546444,8.0,8.0,0.05960771509545483
64.0,103.0,0.024417652644819158,0.7814206520178186,1.1800900081940364,5.0,2.0,0.057221029648179426
113.0,62.0,0.06227377475164084,54.835598674781366,3.8481164244220727,4.0,0.0,0.06578994207903205
111.0,46.0,0.03837737611113023,54.9720651525909,2.7968521995479727,4.0,0.0,0.06510341419945165
167.0,59.0,0.059063217628190195,28.743822804794046,4.660328020181778,3.0,0.0,0.06419480781465496
91.0,78.0,0.06437500504692303,10.965521245119854,0.23345149631789486,4.0,4.0,0.0638333647057881
151.0,71.0,0.041029762890154205,80.54350622357649,8.45198748590671,2.0,7.0,0.061544564900996954
