EASER second step optimization recall
topK[40, 2500],l2_norm[40, 300],normalize_matrix = False
best -> 0.1435577675281652 and parameters: {'topK': 300, 'l2_norm': 78.48190404414783}
topK,l2_norm,result
943.0,128.58782219214947,0.1383819306294432
614.0,136.3664517215277,0.13897300483995506
2495.0,140.88059787252806,0.13633520485895664
2422.0,68.62205898799019,0.1368734656620597
1739.0,283.2319977236112,0.1339546193644905
2448.0,170.94188724906144,0.13642784676345884
424.0,148.95581542567183,0.1398424189981751
2360.0,168.7621488154389,0.13635260254523465
46.0,69.78652800450226,0.14175981672338783
149.0,78.45882382776884,0.1423674818580719
1460.0,250.15277933685235,0.1339229991413985
355.0,41.220213828571396,0.14249966524432622
42.0,43.746982336709166,0.14192323223747522
486.0,95.51002245508198,0.14245905374041565
853.0,102.73571428663723,0.14099599679149122
482.0,41.98008448306735,0.14139148902613716
1135.0,200.8087539295451,0.13648286695019163
688.0,99.51333223832783,0.14123783539799833
1602.0,98.52025247120963,0.13696119630453904
358.0,212.1197583797399,0.13749462896273967
1075.0,56.8573775018785,0.14001433191030388
300.0,78.48190404414783,0.1435577675281652
265.0,88.66051420442497,0.14337534044362749
265.0,117.25672075659318,0.1412924372230026
749.0,81.29414366637754,0.14197327738139454
224.0,56.852305680030526,0.14285452532131598
242.0,112.628125262767,0.1420842432483999
576.0,81.74243347788963,0.14286588919081886
649.0,180.15353581982072,0.13733282160103522
984.0,124.38290199715782,0.13852941806954872
1280.0,154.07108292718954,0.13725814318299046
239.0,62.92975758463062,0.14241143369374232
552.0,82.39399242285182,0.14257838819864677
784.0,86.17086608375735,0.14131130607174044
2036.0,130.3947223639372,0.13684138928232234
172.0,58.628269092744844,0.14335186601227534
556.0,66.63757832009819,0.1423208947631008
358.0,112.77520498616721,0.14180196991954588
133.0,86.96623223616668,0.14183668832741503
433.0,55.782490548301354,0.1418802182974278
623.0,142.49070495834658,0.1387440136309987
176.0,55.24668651944813,0.14340550729673782
123.0,71.09617900592343,0.14298755032350205
104.0,70.90496828214656,0.14236566731735342
181.0,54.17133570167292,0.1431798144221844
318.0,49.61805063999445,0.1424616252366388
220.0,50.75946878778383,0.1429333927272016
410.0,40.28239955298618,0.14197790770799676
1929.0,277.8512802334184,0.13409760613383517
47.0,72.0506380828543,0.14212519895852727
