UserWise, 6 groups. Version 15 of notebook. Best of leaderboard up to now (06 02 02) is 0.07859379381621226 on val, 0.09847160817320726 on test.
Submission scored 0,14072 :(
Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,Accuracy_val,Accuracy_test
0,0.11687535597895099,0.36260731936000967,0.5205173246610393,0.15629926498612248,0.44413883718325325,0.3995618978306242,0.09229388895318413,0.7919771287055889,0.11572898234122696,0.5060471980053747,0.12583530328800338,0.3681174987066219,0.551940142239969,0.34526821854698025,0.10279163921305061,0.42969952436471326,0.3926078524870922,0.17769262314819453,0.07757757809955375,0.09750162503849155
1,0.11722197096443936,0.25600381322527727,0.6267742158102835,0.2953859235485396,0.464904802496588,0.23970927395487232,0.5733989936828563,0.29927000160482636,0.12733100471231742,0.05598473738057196,0.5530272299168613,0.39098803270256677,0.21127790153996065,0.5356114178572695,0.2531106806027697,0.5640373494293555,0.40576305177761474,0.03019959879302993,0.07739966220601208,0.09636737548170878
2,0.22826458694525617,0.384053304156621,0.3876821088981229,0.006296602417658473,0.9515155893103628,0.04218780827197861,0.35421442162650807,0.08958698548710131,0.5561985928863906,0.07649402261399106,0.6306414611414061,0.29286451624460286,0.26931224894976397,0.1233961344922266,0.6072916165580093,0.10388638309501451,0.16133029604657545,0.7347833208584099,0.07606023468914219,0.09359929606228123
3,0.6577025177072744,0.20455857752778386,0.13773890476494186,0.47711765669715694,0.23147759453162245,0.29140474877122063,0.001865911292380133,0.7045196359056854,0.29361445280193443,0.5473639647995988,0.42336510379211173,0.02927093140828949,0.2801062967520969,0.6244783222477351,0.09541538100016793,0.24921207705916756,0.2575529117197791,0.4932350112210532,0.07675176200819353,0.096344736330371
4,0.6366730923117317,0.27819433002484184,0.08513257766342634,0.02287840835528611,0.5854694920148505,0.3916520996298634,0.23023673574277842,0.6090873308810553,0.1606759333761663,0.028343772162209607,0.827032519324864,0.14462370851292647,0.028108718388813823,0.5363054309200841,0.4355858506911021,0.1772590775914377,0.1826757564052746,0.6400651660032878,0.0754958590734417,0.09357399772642556
5,0.6615494197858094,0.015606776069401179,0.32284380414478947,0.1887151009348712,0.6206062230898077,0.19067867597532107,0.8960757682204529,0.08549345366304381,0.018430778116503253,0.28269754852416146,0.7009730760858253,0.016329375390013303,0.5760427112047649,0.10491037797704796,0.319046910818187,0.05011439710569837,0.7490275515004221,0.20085805139387955,0.07627983932463364,0.09521526064008315
6,0.5120073110233041,0.4370540804233928,0.050938608553303136,0.22502641435552628,0.3529091673960853,0.42206441824838836,0.029405561728663453,0.5776441674079523,0.39295027086338424,0.20091245011571443,0.7029521546474923,0.0961353952367933,0.10489024323479203,0.18682872136915998,0.708281035396048,0.1814009570165941,0.09769019416742733,0.7209088488159786,0.07548212273754981,0.09390807593733393
7,0.5946410998732216,0.27136097570043166,0.13399792442634675,0.07187124857684657,0.35145783827927096,0.5766709131438824,0.19466159258863397,0.5932937123834409,0.21204469502792522,0.13954476237423014,0.7946683898612761,0.06578684776449369,0.09328703864964959,0.7523194200317609,0.15439354131858954,0.31539557154262404,0.04794603710520291,0.6366583913521731,0.07547974118880285,0.0944735353742567
8,0.29901015746645476,0.4375489385910033,0.26344090394254194,0.0741097901729529,0.15862537645433236,0.7672648333727148,0.2832335668727323,0.634226740475729,0.0825396926515387,0.1937282793609994,0.7189093126799525,0.08736240795904814,0.2619895703089125,0.5617023593994949,0.1763080702915926,0.33446918548133436,0.3069773111645223,0.3585535033541434,0.0763151279357701,0.09595457880319914
9,0.1841730509761121,0.02468267735918809,0.7911442716646998,0.1812765335211631,0.4001609243397035,0.41856254213913346,0.0025767564110995072,0.7890831857814264,0.20834005780747406,0.003698616358119018,0.14735908585929347,0.8489422977825876,0.14539993523947725,0.3843406261448166,0.4702594386157061,0.17428632042392225,0.4363775263412126,0.38933615323486526,0.0760913485967012,0.09395114805866735
