Primo tentativo di split userwise.
Non ha miglirato probabilmente a causa di overfitting sul validation
Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,Accuracy
10,0.0968750354039129,0.6888426673381204,0.21428229725796674,0.29343383705676584,0.005400212287539513,0.7011659506556945,0.5927948120478813,0.10504536267976171,0.3021598252723569,0.4793153765506109,0.1525927841155847,0.36809183933380446,0.4292649086359202,0.03284884580777339,0.5378862455563064,0.01695362877149744,0.5858814007841947,0.397164970444308,0.09707849199230761
11,0.7306775348346692,0.2591026752836079,0.010219789881723024,0.16187595335180077,0.6667644870840385,0.17135955956416085,0.27639847231089637,0.013815684557878715,0.709785843131225,0.4845893686727449,0.12862108074071374,0.38678955058654146,0.6495436837233566,0.2295064091290911,0.12094990714755217,0.3673416236928087,0.20035198366889473,0.4323063926382966,0.09791721139917162
12,0.937551934217627,0.014719550024592068,0.04772851575778111,0.10233619632083946,0.13458027062192773,0.7630835330572328,0.5704200586695448,0.19427967311430958,0.23530026821614572,0.5265165271798357,0.22703327214038463,0.24645020067977977,0.48541461162697586,0.4027411933606617,0.11184419501236252,0.6439211763246251,0.17834326287541194,0.17773556079996283,0.09863673827678637
13,0.34413720503742895,0.3639419415654503,0.2919208533971207,0.44363337776671585,0.11579756014543963,0.4405690620878445,0.28703286747574674,0.16721028715355277,0.5457568453707005,0.4013901700729011,0.004043388797495353,0.5945664411296036,0.8527788615891599,0.11763578482255399,0.02958535358828604,0.9525156989028271,0.02043910370466245,0.027045197392510583,0.09785476472860019
14,0.1157996324778978,0.09405071023673331,0.7901496572853689,0.2958339936051443,0.3471139592094562,0.3570520471853995,0.43222255080652205,0.015018326227750602,0.5527591229657275,0.48902169098046727,0.17258571748318294,0.3383925915363498,0.4016524800323553,0.27037413505212327,0.3279733849155214,0.026415492778612795,0.5050295269535204,0.46855498026786685,0.09701363763537821
15,0.5712792386461732,0.41710813575333244,0.011612625600494276,0.2883190489676,0.3141199988330188,0.3975609521993811,0.7424950344200747,0.06726617338359035,0.19023879219633502,0.8017895868186375,0.08645185371792197,0.11175855946344061,0.5340603453297038,0.3642072615305502,0.10173239313974582,0.6033305585513592,0.3566028918395351,0.04006654960910586,0.09901342130925461
16,0.4936248811714009,0.3455226083823289,0.16085251044627016,0.31907535846662094,0.30412602291688745,0.3767986186164916,0.49627836063290387,0.16956430987287424,0.3341573294942219,0.5473182879754288,0.22333836716300606,0.2293433448615651,0.4800174829337475,0.43404484662946563,0.0859376704367868,0.4853425882039151,0.4244762113154979,0.09018120048058707,0.09938772859802633
17,0.5252719728018485,0.35673404212451487,0.11799398507363662,0.3392513531902503,0.28916692348453205,0.3715817233252176,0.735727349636141,0.07015409306820322,0.1941185572956559,0.68230361294671,0.142636607311261,0.17505977974202896,0.37057804354018453,0.5628906206710195,0.0665313357887959,0.9198830416417703,0.024402013613673557,0.055714944744556204,0.09858491902797664
18,0.4892521875527557,0.45328795410869266,0.05745985833855166,0.2378240773127797,0.31804047406756125,0.4441354486196592,0.49672107333101134,0.13507224931702083,0.3682066773519679,0.7634665351305119,0.07985140166471512,0.15668206320477285,0.27329147415661637,0.5105314720380404,0.21617705380534333,0.5026318540524889,0.4131292357448849,0.08423891020262612,0.09888537039509032
19,0.5340682417502309,0.2754821712453063,0.19044958700446282,0.29312988632718606,0.11783714952510803,0.5890329641477059,0.7087534519093788,0.053378486899059836,0.23786806119156126,0.8725881631190039,0.014524245871760533,0.1128875910092356,0.385201848142169,0.5391890674888772,0.07560908436895371,0.3324851617674118,0.4639377133594582,0.20357712487312998,0.09871403486522619
20,0.39742019356161495,0.5486110179856823,0.05396878845270267,0.20388600708291574,0.5803775675419865,0.21573642537509766,0.4109355036351659,0.14127702571094708,0.44778747065388697,0.6504648256790242,0.13179384537892097,0.21774132894205483,0.382310558026563,0.5665026517694347,0.051186790204002325,0.44444813620063134,0.23020319282142382,0.3253486709779448,0.09878880939205507
21,0.48948445079852637,0.44810208366122095,0.06241346554025257,0.25264464952958604,0.3142673795933155,0.43308797087709844,0.5056046061511873,0.12019368799101543,0.37420170585779733,0.763134807586458,0.07692625191276813,0.15993894050077373,0.28717292696744134,0.49810304081571805,0.21472403221684058,0.3584696952331629,0.6049930161564637,0.03653728861037341,0.09874455026257212
