topK,lambda_i,lambda_j,learning_rate,result,epochs
23.0,0.0022464957474161227,0.00022855977633643305,0.024577039888596348,0.02896400941809631,60.0
21.0,0.002180451925612719,0.0002175648704266242,0.029680822739147003,0.029413571348485778,180.0
12.0,0.0020840121860936315,4.7845188770239396e-05,0.02262079809395308,0.029433941184950404,150.0
21.0,0.0025926182399470385,2.076881984159206e-05,0.01900834672851947,0.029045981291945123,90.0
24.0,0.0023281439884029176,0.00012951239413154592,0.030696910352855246,0.029394635048772544,185.0
19.0,0.002752596105707155,0.0002442707466429796,0.02640308066428533,0.029563756346804,180.0
16.0,0.002819544969811641,7.982551304572345e-05,0.027229073114243798,0.029443607547290907,185.0
14.0,0.0026618698401073304,5.45183429549049e-05,0.016930594353164262,0.029145231688370007,120.0
18.0,0.0024851215180787,0.00013551977176916793,0.02024264260097284,0.02940096583537573,145.0
19.0,0.002795983441652242,1.3941627423758709e-05,0.018296907434381268,0.029693018916278357,305.0
19.0,0.0028007787893121346,1.5816424793929286e-05,0.019393386891532003,0.029799533099482807,330.0
19.0,0.0028388378172302764,5.478491514704563e-06,0.018400137098558724,0.02960164496340084,230.0
20.0,0.0029008450434293486,5.1834125291170644e-06,0.017809789431609924,0.029676132814377275,265.0
20.0,0.002993623143379858,1.5904879061305646e-05,0.01740040326783845,0.02936572005189577,115.0
17.0,0.00267167943855534,4.551448955708985e-06,0.01534927313543238,0.02942588454823589,110.0
5.0,0.0028963350399551016,1.2262160521501189e-05,0.020390955101224146,0.028527669661877624,115.0
20.0,0.0025747597092829954,1.136809031516815e-06,0.009472306064827133,0.02926937276760697,225.0
22.0,0.0030327128759126657,2.36499962795939e-05,0.018772551502682998,0.029290195089135666,190.0
18.0,0.0032463169144110204,2.3226088296671652e-06,0.014209370557416461,0.02968479009498201,240.0
15.0,0.003257810100634376,3.4510109012107068e-06,0.016593742148372153,0.029609961879134596,210.0
18.0,0.0027146229436892815,2.1468896248727647e-06,0.01425025568085878,0.029768171479826466,325.0
18.0,0.002660085563912001,2.0054048948121357e-06,0.013354905199598617,0.02942740217513192,190.0
17.0,0.002739357474538355,1.0025779271462718e-06,0.014439550969661711,0.029640230326910613,225.0
17.0,0.0027268733882335233,1.2985074876932604e-06,0.015205967747275588,0.029467581247097096,115.0
15.0,0.002785590246672229,7.21587115585164e-07,0.014341437982781174,0.029544631845338325,225.0
16.0,0.0028619935376063776,3.416200127968435e-06,0.016439256035166074,0.02945353418865027,205.0
18.0,0.0029546829890483004,7.738299614563124e-06,0.017867737516725303,0.029690235932920306,210.0
18.0,0.002926055865644771,7.691602221202134e-06,0.018402977902457998,0.029506198644947506,235.0
20.0,0.0031566647191669287,1.0137842569275377e-05,0.017581107515064746,0.029644358752582936,160.0
