slim bpr cython
range-> ("topK", 5, 200),(lambda_i", 0.0025, 0.0075),(lambda_j, 1e-5,0.05, log=True),("learning_rate", 1e-4, 0.04, log=True),
best -> result = 0.0297272035622188, epochs =  445,lambda_i=0.00357814405695588,lambda_j=0.0000517456087547006,learning_rate = 0.0110299013052305,topK=18)
topK,lambda_i,lambda_j,learning_rate,result,epochs
40.0,0.002997832841769968,1.3288994943586961e-05,0.020825384794859327,0.029005782198516922,145.0
20.0,0.0028510069813143584,1.7346978438341436e-05,0.014036927561253217,0.02933513126071161,125.0
30.0,0.002978180657303338,4.050828899261039e-05,0.025148977172821836,0.028878501753880233,55.0
77.0,0.0027656121044170234,2.981111930199676e-05,0.01898334011937591,0.02786210417567632,160.0
49.0,0.0031954401859495755,6.29815151659566e-05,0.007492737213519203,0.028148583281277686,135.0
5.0,0.0028087687462354373,1.4246432240407375e-05,0.031205889865239606,0.02817898387070953,60.0
22.0,0.003366332596374899,8.48476693517379e-05,0.011845060863887097,0.02919275062867409,185.0
13.0,0.0026105159911159787,1.008185136492607e-05,0.02232029279563513,0.02927690484199077,100.0
30.0,0.0026377622460478614,2.671201014306126e-05,0.03314394297637609,0.028865543863021304,65.0
24.0,0.0025025523082853303,1.3406946943069883e-05,0.03965982306652539,0.029367093524258238,85.0
39.0,0.00290478773802484,2.2106467073109022e-05,0.016913522759254167,0.028787059728028534,150.0
10.0,0.00276553057384359,1.762401307845328e-05,0.026502331371625283,0.029143341662262102,125.0
46.0,0.0030662636969630563,3.6691651344899415e-05,0.021833463200468067,0.028929948905226457,195.0
22.0,0.0026908801716579466,5.231419073599333e-05,0.03352655642955684,0.02939310140470602,120.0
31.0,0.00285606458691224,2.5798775337332002e-05,0.013983457818050335,0.028778058078259977,145.0
12.0,0.003228555076530911,1.319940202594516e-05,0.02859779688746361,0.029477864270498134,75.0
59.0,0.0032488913170378828,1.3094399441206183e-05,0.017968741319173483,0.02841086444668697,135.0
12.0,0.0029859181550936156,1.0071887097812541e-05,0.0274592262020058,0.02965385293034148,130.0
11.0,0.003128643252276958,1.0340050355509976e-05,0.026377094275652838,0.0292611919978218,70.0
18.0,0.002968873402819315,1.8510870187358976e-05,0.020889988506024873,0.029372807649800776,145.0
11.0,0.0030658948420218862,1.2994895382503304e-05,0.029510517274556967,0.02919616228597072,100.0
26.0,0.003518755113382282,2.3024209674758823e-05,0.01548260680236855,0.02957808771002526,250.0
5.0,0.0034232082662958014,3.1869956939756104e-05,0.015164972185727333,0.028128581839732325,65.0
26.0,0.00324652999492988,2.2809212253073663e-05,0.009718114499552318,0.02913561738183346,305.0
18.0,0.0035781440569558867,5.174560875470062e-05,0.011029901305230566,0.02972720356221883,445.0
34.0,0.003521405707239071,5.699866553043979e-05,0.01079587809659665,0.028558546762129006,90.0
99.0,0.003901630595425062,4.0261608958625136e-05,0.01364971796868847,0.028019889321352593,215.0
17.0,0.003692789848164871,1.5498534590334294e-05,0.01750970264191589,0.02928723191261044,130.0
14.0,0.0030279084144805425,1.937257904949063e-05,0.02287815735049131,0.02949957554498431,125.0
27.0,0.003011011303458264,0.00010685682741791304,0.02308422641765181,0.029439090705236162,215.0
19.0,0.0028875015519501082,2.4930260158861522e-05,0.015660738120689122,0.029211438662246077,145.0
37.0,0.0027855494806026835,3.456020546811453e-05,0.012471134893481712,0.029078864542789983,120.0
9.0,0.003347374445489355,4.7723206309335396e-05,0.0192112904392531,0.02913194944981029,95.0
16.0,0.002701689667105374,1.9255290477746932e-05,0.008339775107756242,0.02939942418272402,345.0
23.0,0.0031305044381709645,0.00014778218241972652,0.010029694159869759,0.028638684669966323,105.0
43.0,0.002920477741338037,7.02358829552605e-05,0.006723501071968655,0.02862178655518731,225.0
28.0,0.0030433904012689044,0.00022077357625229678,0.010521800091732878,0.02911473499591572,285.0
14.0,0.0031999339012339354,1.1999632596353587e-05,0.033827917672562546,0.029187364855124822,75.0
11.0,0.002823059145336617,1.6086668778709242e-05,0.026348973225950378,0.02911624461422659,70.0
136.0,0.0029484345433169676,2.060481366197714e-05,0.023758260827607586,0.027224913106850646,175.0
5.0,0.0032588414552116697,2.8767544485544146e-05,0.029401658116561778,0.028278983069851,60.0
19.0,0.0034812712876039816,1.505544781327724e-05,0.019331052448840758,0.029419597808851252,135.0
32.0,0.0033221006524092422,1.2407764282853498e-05,0.016472652867418846,0.029035750324347846,205.0
13.0,0.002565123149579477,2.6582006633608563e-05,0.03461524518632492,0.029009718418144367,50.0
21.0,0.003145415886126925,1.987000319435926e-05,0.02293985753132684,0.029418504636971054,145.0
9.0,0.0027319908836022553,3.87259496414646e-05,0.02801022689227807,0.02910423173642155,85.0
