First try
topK[1, 12000]log=True,l1_ratio[1e-7, 1e-3]log=True,alpha[1e-4, 1]log=True
best-> topK: 1421, l1_ratio: 1.7705315926835813e-05, alpha: 0.026107565357229457
KFOLD->0.47591467085479183
trialid,accuracy,topK,l1_ratio,alpha
69,0.4199958270589579,1410,1.4817919193122544e-05,0.011303789146431462
70,0.42456840697218323,3940,0.00040765969402699114,0.027798911366772896
71,0.42642457059097905,8367,2.662004434716439e-05,0.016208110920730167
72,0.42645103068920814,8444,8.042865257005299e-05,0.016978105946945998
73,0.4264298814140528,8639,2.545144782300175e-05,0.016327975149826042
74,0.41173088619083253,6153,2.0587440354614993e-05,0.0062370029637842965
75,0.42644344562537684,8242,3.7963826413710395e-05,0.01541296352858077
76,0.42062939723226034,8840,8.099803848951901e-05,0.009248724336625144
77,0.4265432241922042,7070,4.254131944199712e-05,0.016578003994214833
78,0.42629524144966296,11761,3.774622716276266e-05,0.016001845057369037
79,0.41014500022189637,8146,5.770572922064872e-05,0.005602214886201718
80,0.4247922937006247,7832,0.00019407417274141785,0.012632961207580874
81,0.4265152819034745,11752,3.911008186474202e-05,0.01718558816353965
