{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
198.0,0.3834900323325868,0.14243737339461982
191.0,0.40383198322665265,0.1426461155249463
203.0,0.4165399995367963,0.14249005181917074
211.0,0.3771733972932904,0.14200988868123132
195.0,0.440515985330302,0.1421144211074226
186.0,0.3964237869980311,0.14251564381619924
200.0,0.42976623250750723,0.1421689048140517
170.0,0.37225973077899255,0.14191665645978027
229.0,0.41878857879898346,0.14055843709877633
200.0,0.4098452789384696,0.14251230236562912
189.0,0.4155636885545801,0.14250836499825342
207.0,0.38980499758418147,0.1422725493886723
196.0,0.40216831953892473,0.14284132639235467
195.0,0.4023296051006644,0.14289623624477166
177.0,0.4013864254094393,0.14208339063088196
194.0,0.43258843536685737,0.14198097310028027
181.0,0.3782329943498064,0.1430217682633541
187.0,0.36280318155504987,0.14247328185110145
181.0,0.38068189032446864,0.1429977036082701
182.0,0.382373125317332,0.1428679372076841
174.0,0.37780512191878163,0.14204276694613485
181.0,0.3528601259889954,0.14252429399057448
182.0,0.385714482849979,0.14288493540761116
177.0,0.3848687302953006,0.14240813464703514
182.0,0.3669413280050978,0.14245817648127188
193.0,0.39172113912248685,0.14265527479854098
169.0,0.3747654318194998,0.1416535290853265
190.0,0.3877479593554317,0.14289332051215792
190.0,0.3597772531718557,0.1426421381679459
184.0,0.38473875978504324,0.14271783106121924
181.0,0.38686555965241365,0.1430506019915126
180.0,0.38341492063733373,0.14295398359633912
173.0,0.37148682691503865,0.14224380443776447
181.0,0.3818625217257243,0.1429392487961155
179.0,0.3531848166081101,0.14237759775889483
182.0,0.38519652883981087,0.14292074714090308
167.0,0.37656038869826225,0.14137003262434455
158.0,0.3877101978624134,0.14174100017155267
180.0,0.36675031046845324,0.14276709770532886
174.0,0.3668786340669486,0.1420690107751919
180.0,0.3414551486688861,0.14196008840474966
182.0,0.3819102083259278,0.14287872940313526
182.0,0.380797626626564,0.14284317003024632
183.0,0.3842286425150719,0.14277016162756445
176.0,0.3926436275189227,0.14208975427564524
188.0,0.37703798374639635,0.14266590976458188
162.0,0.35714086617922786,0.14166235201947658
184.0,0.3841604404652726,0.14268206300352188
172.0,0.34839134016526974,0.14206786909387067
183.0,0.3929869923438043,0.14274897869593708
189.0,0.3818606704818678,0.14274727443948299
177.0,0.37272548380945236,0.14285392500776972
177.0,0.3720235112606823,0.14276653158331026
168.0,0.3618390952712071,0.14165824485957845
186.0,0.39766080236563345,0.14258941186863086
180.0,0.37856296613742724,0.1431039062534904
180.0,0.3772336958002103,0.14304604848121913
176.0,0.3636253305446268,0.14246950174229825
172.0,0.37565498093301397,0.14210180841157488
180.0,0.3879902978406785,0.14277902906289922
181.0,0.3727961080839769,0.1428290808440927
180.0,0.3564726359292503,0.14236220811440176
185.0,0.3711609099843743,0.1426264134854748
175.0,0.37852422196117375,0.1421841382149435
188.0,0.34757513705566767,0.14218071042512806
170.0,0.39044673543129665,0.1418441683097557
181.0,0.3666143022868901,0.14282566153026505
191.0,0.3783314913810122,0.14265693925627526
164.0,0.3931982227357059,0.14178931859329874
