{'topK': 1000, 'alpha': 0.3879460479349395}
best -> 0.40727755719309877
topK,alpha,result
983.0,0.5584923729894005,0.40500944048756116
923.0,1.410679428155691,0.3667180668695061
185.0,0.9603984512267899,0.31986458867258144
392.0,0.3028465316767338,0.3888711680482315
332.0,0.10782818967277627,0.37842099335576795
585.0,1.7525202702639808,0.3267802345420199
920.0,1.8939135231754762,0.3420308740377137
857.0,0.8561884163533902,0.39305592430716824
286.0,0.12960713252516184,0.37358795539850026
147.0,0.10053936961732984,0.33186428668191215
635.0,0.6450356924757107,0.39530179225242557
672.0,0.6033979234276738,0.3980667551558987
728.0,0.5629658821363247,0.4005274408060925
779.0,0.4478042801917618,0.40398457345489
795.0,1.1941855370655914,0.3738291878162611
989.0,0.39602559840674534,0.40684409044044684
9.0,0.36145711082419185,0.11102833735510917
997.0,0.7486989737340857,0.40187823164578185
494.0,0.8008826463685556,0.3795702130536461
999.0,0.34018133973117337,0.4068517930509499
485.0,0.29539893129723616,0.3945943395284733
996.0,0.5125770804604324,0.40549500474132993
870.0,0.4189669441273991,0.4050084509089751
820.0,0.22835976687775736,0.40199341427058083
991.0,0.0034811568798689407,0.39568972195934343
890.0,0.5112658354263024,0.4038750503989449
754.0,0.3816579236577706,0.40330076424022376
921.0,0.6801336226017269,0.4017774492866751
682.0,0.22581724823935082,0.3990334944494092
951.0,0.6179232233278056,0.4039062884717535
831.0,0.5151242886921956,0.4028460303622789
996.0,0.45988627897812573,0.4059288827810146
985.0,0.4367021192471521,0.40537057497506923
913.0,0.8934580369306507,0.39359339017075207
959.0,0.7213661267012748,0.40196128187150737
876.0,0.300582831367023,0.40380742348364435
992.0,0.5129512178812492,0.40548786360441885
930.0,1.0499110786638273,0.38573180666410567
581.0,0.2339964858842331,0.3959746336285371
831.0,0.3560537469368136,0.40415352419504114
880.0,0.6894545280726453,0.40080876751456324
993.0,0.5052970311393427,0.40550698261282275
934.0,0.5199531070196981,0.4046370504914671
949.0,0.6050124502533969,0.4041584305053736
394.0,0.17238853433857065,0.38573669527661064
995.0,0.42725988898639217,0.4059614946659255
854.0,0.31665771322620284,0.40390451135756694
717.0,0.05663707976903032,0.3944572337765673
899.0,0.1168605665124769,0.39980795042041584
796.0,0.4332717055308577,0.404447828746338
953.0,0.18893279918251749,0.4026012990911081
996.0,0.46697083116326243,0.40606187031281077
951.0,0.2833639088880686,0.4049171184362222
899.0,0.3878608850854104,0.4051503649036167
225.0,0.5906206071687037,0.35746983230578705
996.0,0.45874384796803824,0.40583481240720753
82.0,0.7789392551546458,0.2802652560889332
961.0,0.3347128819723941,0.40599828574735186
847.0,0.33835025751287645,0.40377122175899105
958.0,0.15688121358721063,0.4013654419571976
756.0,0.26295244424120495,0.40146744255958317
997.0,0.41714326709140476,0.4061772867453981
908.0,0.3773374655513125,0.40555733021415896
965.0,0.5851083922502703,0.4044845456095439
1000.0,0.41931591660252115,0.40624552326735
929.0,0.32633955808101417,0.40535864746320827
870.0,0.6647644933187064,0.40127674509583067
964.0,0.25148700438420646,0.4037503165705638
800.0,0.40680250587006184,0.40388869175224923
547.0,0.563866434545724,0.3933576951707288
919.0,0.19931684790613263,0.40281285063165795
1000.0,0.46864979410682167,0.40607291936627954
971.0,0.4646761765183961,0.40570553541506604
932.0,0.3680063452868177,0.4053414209938061
999.0,0.2905539661506037,0.4057489826569238
888.0,0.6516282694629425,0.40212367248525394
973.0,0.41582088140834755,0.4063030124736408
971.0,0.5517512006875815,0.40515552220049383
939.0,0.3329698724962036,0.4053527291534538
856.0,0.2507991420560538,0.4037495965606056
908.0,0.489141996762113,0.40439164631256463
978.0,0.42435428480194454,0.40541564597078017
973.0,0.4241260024055566,0.40571987246877583
392.0,0.5486561021086036,0.3839260871007971
998.0,0.3882717966719032,0.40696043774864143
941.0,0.37750149252049087,0.4062542200965877
936.0,0.46705546715379814,0.4053360568195632
353.0,0.3837069144752072,0.38479716457519547
999.0,0.6277038301880464,0.4041930815740221
884.0,0.21445803356191728,0.4032310185017802
440.0,0.5055295019900733,0.3886277817571395
950.0,0.30493308802246455,0.4055750491721045
969.0,0.3490615301209086,0.40652208100556775
914.0,0.36191296353208724,0.40501690704023563
977.0,0.40707803620023925,0.40649614901315045
976.0,0.39797267039657835,0.4065822437415416
938.0,0.28046952981695394,0.40493600020633264
977.0,0.1489805309191095,0.40090902216879887
832.0,0.37960473612957685,0.4039352569218428
648.0,0.2094274776725533,0.3977157692892324
902.0,0.41069127402080696,0.40513583697468186
977.0,0.5325781878380378,0.4053444570838833
948.0,0.4770893288370785,0.4058530116841045
978.0,0.3331935499345495,0.40615896475305335
924.0,0.33363299590133155,0.4050166276402251
979.0,0.2741292104770573,0.4047541549333237
870.0,0.4082505651823624,0.4050091453219146
950.0,0.31947677031808047,0.40604003453243565
965.0,0.3532908782694315,0.4061722847574075
921.0,0.2353210146807865,0.4041041851174367
896.0,0.11054790053334998,0.39934066062922335
965.0,0.3627890208331499,0.40616308899473846
962.0,0.43769185694911783,0.40576786592502384
944.0,0.3784867512109788,0.40588416172110414
982.0,0.2942103526932504,0.4055769195450375
1000.0,0.5006849203557835,0.4051877310630249
963.0,0.34991370864665733,0.4065993068683522
909.0,0.1905769701423198,0.4020200131481384
930.0,0.2577289155713911,0.40467475660591995
956.0,0.44801620248411134,0.40584154083340956
981.0,0.3991303997368978,0.40634787757932533
985.0,0.3920190730811961,0.40659908881468176
982.0,0.4149636840834945,0.4062373214670962
983.0,0.5771054119211874,0.4044767075418079
271.0,0.5420693400287178,0.3685700832482252
938.0,0.3999364479356383,0.40595619455899346
1000.0,0.48664411531756535,0.40535216376439026
921.0,0.2996450162734263,0.405200439038912
956.0,0.43395083719055216,0.4061122977168303
976.0,0.3909798248866074,0.4063069537618014
887.0,0.36259647511458576,0.40479116426497636
978.0,0.40867786068857803,0.4067426285523382
945.0,0.4566933165242744,0.4054103034082646
969.0,0.3126177851576102,0.4063308089734029
969.0,0.24873538137579804,0.4038943108258134
923.0,0.3083398982740947,0.4049374022274152
976.0,0.35555565177305487,0.4064151178590493
11.0,0.3434283103563218,0.1270070695829989
979.0,0.18188766482433066,0.401389000743974
961.0,0.2786674872656783,0.4053153866630034
904.0,0.527279327830535,0.4039627905994166
940.0,0.3870267921489265,0.4060083208821008
978.0,0.33922953142215684,0.40611072603399145
1000.0,0.3834904426664973,0.4071314362381422
998.0,0.47863246646622337,0.40551948845847163
962.0,0.40365859367368634,0.4061634258739873
980.0,0.23457480452145557,0.40308148793868065
957.0,0.31222392716857794,0.4064324281981929
951.0,0.30791036266821953,0.40596355319496774
1000.0,0.2697165176843267,0.40484363732477624
920.0,0.15083961107979627,0.40108013140062565
974.0,0.36120993274007923,0.40599182700012326
963.0,0.3127218266551544,0.4060731540844348
940.0,0.44144128735841914,0.4058928931146337
981.0,0.3983881474085887,0.4062383964019742
957.0,0.35186192430367264,0.4064331955315068
927.0,0.21813581776561286,0.40340950630524963
951.0,0.3275810753259283,0.4060696017828524
999.0,0.36490840982303874,0.4071026969629578
999.0,0.2738926693655255,0.4047844481806928
902.0,0.49803456493245224,0.4042811483118103
982.0,0.36466434753992943,0.406741274453218
957.0,0.3399380231538956,0.4063975960105839
1000.0,0.4474531063795685,0.40570200701711295
953.0,0.3529882920856561,0.40601610512587094
984.0,0.35495042717782876,0.4065078779296268
934.0,0.36369200564839904,0.4056285482591328
598.0,0.28950207012291584,0.39770779509654686
952.0,0.3403435423775678,0.40609183198226784
987.0,0.2408033530258306,0.4035285642238553
961.0,0.44731758085182294,0.40549446161393354
983.0,0.393319481394916,0.4066168873225511
981.0,0.35484391040776225,0.4065128744065924
1000.0,0.3821283068846614,0.40684824058325564
990.0,0.42020018822189403,0.40600827379938464
999.0,0.3871565800327256,0.4071204335136141
1000.0,0.4880305390976647,0.4053522451904509
1000.0,0.39248445991431025,0.40691151191089664
1000.0,0.3879460479349395,0.40727755719309877
988.0,0.4504992295346751,0.4059104504241234
998.0,0.40144608901952344,0.4067822222222147
984.0,0.38627185577503337,0.4065938659201792
999.0,0.3997806199892263,0.40684777458059185
991.0,0.3975691592503195,0.4070259347555735
999.0,0.40082033040919707,0.40663020203807443
994.0,0.5167792193231373,0.40556987886661333
999.0,0.46174542432913773,0.4061564108462082
1000.0,0.39652803765070105,0.4071930022981674
999.0,0.4301212486347077,0.4060944218253358
998.0,0.6061650202890452,0.4049847524916962
518.0,0.5580994324571874,0.3917217975442098
971.0,0.38885637071344786,0.4060230019399113
999.0,0.40960971197591195,0.40634918719714047
970.0,0.47039588631470786,0.4053881142801344
977.0,0.3918539810325129,0.40652366830513736
940.0,0.4313114836422277,0.4061214789674887
1000.0,0.4953968460173771,0.40507405732389357
970.0,0.6901407531941726,0.40258879892163374
982.0,0.3998216937588196,0.4064882683990438
944.0,0.30063980698725246,0.40526339299971403
964.0,0.3754680455720772,0.4060676656087341
984.0,0.912718943388215,0.39408131229819476
979.0,0.3887108995427374,0.40637573422627393
1000.0,0.44333224478245686,0.4054650896977696
961.0,0.41431314901349925,0.4057186973788542
1000.0,0.7981341624272479,0.399552425352033
164.0,1.0555080042077103,0.30767265232303237
970.0,0.37535234001461076,0.40612200230232415
945.0,0.3236323010181676,0.40590897153465777
980.0,0.4706860063764616,0.4054622504427535
712.0,1.5597501407291319,0.3465512104934301
974.0,0.38963834629382005,0.4063886971306822
982.0,0.06826915583940418,0.39857401152798044
958.0,0.4179366891806082,0.4059611691585524
984.0,0.376617168855781,0.40655210438979006
1000.0,0.3299985479262396,0.40612582291574695
959.0,0.3690382023560848,0.40598280161453854
983.0,0.2900440981049196,0.40551750725713087
940.0,0.4400555615450128,0.4060258145715983
1000.0,0.5214878886491657,0.4053186660250393
966.0,0.33366568845387007,0.405902046536502
978.0,0.3910588848419206,0.406454848461318
981.0,0.3780430655353225,0.4061636846430404
982.0,0.42897784546901624,0.40557921104997086
963.0,0.4729867221989564,0.4054232068471217
1000.0,0.7326539573318029,0.4023760355936251
949.0,0.3818939589846319,0.40599605475207906
981.0,0.3326914551854619,0.4060324580190834
1000.0,0.4175200955064914,0.4061710314537791
964.0,0.27397210252310317,0.40493545973443235
934.0,0.36366273209014144,0.4056285482591328
972.0,0.34902851210076985,0.40647054132869337
980.0,0.38921682979817146,0.40653345193708007
982.0,0.409137497139306,0.40666236454234617
985.0,0.43040448295526273,0.40585261189247773
955.0,0.47279469195997703,0.4057567312491307
999.0,0.3153059005010528,0.4061158496302911
983.0,0.42810900450609346,0.40569516577337333
962.0,0.3939889650122936,0.40629826960050736
985.0,0.4609485439559259,0.40562823534378306
999.0,0.3670256384019103,0.406970724049155
1000.0,0.36540287074814,0.40713582901301204
997.0,0.34710254150571795,0.4067584538116969
999.0,0.30736381069516566,0.40602894293781683
997.0,0.3421645492898319,0.4068887094208743
1000.0,0.34922348138984854,0.4071979779737046
995.0,0.27609361076175337,0.40490363018492886
966.0,0.33571850167888695,0.406347489882173
1000.0,0.3359798640902882,0.40695265638261174
998.0,0.3153784648271972,0.4061483085445929
