best-> topk = 127, alpha = 0.397284340329014, result = 0.140834891469812
topK,alpha,result
138.0,0.46267495441539963,0.13901068452415516
111.0,0.871786936375946,0.12751910586979562
37.0,0.8180185761909078,0.12037966763467323
106.0,0.17813733812772503,0.1387565906360346
181.0,0.6653089143654976,0.13534109428345156
209.0,0.8995908662205108,0.12928798750055434
322.0,0.23126016124229165,0.1344957316851013
71.0,0.005985881297939422,0.133775780574887
147.0,0.8386951497507682,0.13009018299770056
288.0,0.7127620294822079,0.1342929415426597
238.0,0.4911956293549529,0.1376858552519221
114.0,0.389556862985932,0.13966790143828645
6.0,0.45817291612317707,0.07589880700502806
133.0,0.39437947721773586,0.14053327670604618
71.0,0.33967636593705375,0.1388793306104968
187.0,0.5863565046406946,0.1367277018576504
246.0,0.3458190438762425,0.13616779822794176
95.0,0.5794982667170138,0.13773964487480264
145.0,0.3634787628311965,0.13960999313740308
51.0,0.2067683249800144,0.13459917415675327
213.0,0.9822782712747595,0.12542634481295523
143.0,0.38478994683327217,0.13939888415107704
124.0,0.3496507172950458,0.14041906022885212
123.0,0.2803861641344381,0.139721711669143
166.0,0.27088748719581424,0.1395566499737699
80.0,0.14186973579014503,0.1383040837850334
168.0,0.2783402608616585,0.1393401117742188
123.0,0.4318554199983511,0.1397415077588172
47.0,0.5466572261166214,0.13258818721624777
127.0,0.48224994063205634,0.1382031132267878
91.0,0.4319796828931781,0.13980001677309042
88.0,0.4269858690447119,0.13943660337909508
129.0,0.43621428020741954,0.13975943734307597
163.0,0.5208253382989527,0.13826186418969727
27.0,0.4267037069076226,0.12844642089132452
103.0,0.3203597610595009,0.13889537474324365
61.0,0.5256200571601973,0.13632465119715328
99.0,0.41697678042524744,0.1399639257142908
24.0,0.3181271017414018,0.1267145207492531
90.0,0.3720058329411714,0.13971548809884546
191.0,0.6263785822927945,0.13694879349177724
133.0,0.47174931312233515,0.13891327713036508
103.0,0.4235612267356381,0.13979392652663597
110.0,0.40713156785312743,0.13958308712425405
73.0,0.4750569489850893,0.13919060755679208
155.0,0.37896339386605515,0.1396173424343328
92.0,0.5072561852553775,0.13918432525307728
109.0,0.4099722017545296,0.13956969836299055
