best -> alpha = 0.471097731898723, topK = 143, normalize_similarity = True
topK,alpha,normalize_similarity,result
56,1.474241101193795,False,0.01887621558424038
955,0.13383438765075906,True,0.11434738315809473
396,0.0004606661328916406,False,0.08318515877754849
112,0.1979720683222963,True,0.1357899820109471
577,1.3555050244368778,False,0.04154180058463435
961,0.2699163023240212,False,0.08440438748611372
329,1.984375921528006,False,0.019621698225994143
811,0.13813253780798407,False,0.08187774123923242
689,0.018324808457986563,False,0.08107716353229619
911,0.32993913259087493,True,0.11705765112858225
37,0.6547232113038154,True,0.12921080994891973
14,0.6293662032348945,True,0.10687649064659
193,0.6027005481035735,True,0.1359403332069703
218,0.5864774569801039,True,0.13500365991113933
220,0.9191561497962333,True,0.1273528406049851
188,0.4244101104497962,True,0.1362411869699929
456,0.49911543528358326,True,0.12835201685723177
242,0.8129925196404186,True,0.13119616610725773
565,1.081692627741853,True,0.11876763769743504
142,0.4401921912219687,True,0.13809460473080226
334,0.42188681312641635,True,0.13179104800789773
150,0.3849378025418323,True,0.13763834493663096
117,0.36696148725927036,True,0.13691376028137145
123,0.3376280307214966,True,0.13727221774825546
143,0.278604102780997,True,0.13685759508411444
288,0.46151372289616904,True,0.1325065234087235
400,0.7866299659252846,True,0.12899732309393577
89,0.1888356483703879,True,0.13563536329353446
286,0.3254147128300984,True,0.13115541310561213
152,0.5127157553766254,True,0.13676476200684792
88,0.72734203067661,True,0.12932092159668734
25,0.3790189122822917,True,0.12733037426744562
137,0.13408451765144536,True,0.13621558809925569
73,0.4939557492038793,True,0.1338982731841052
272,0.2613556998217077,True,0.13130128151387913
373,0.09189257983965898,True,0.12755316843783487
168,0.245748961271953,False,0.09415879825333016
468,0.03489644469574116,True,0.1256117808766752
120,0.323143668881834,False,0.09907956392584752
5,0.1698209782345592,False,0.10781168800311179
674,0.386082912547502,True,0.1232602985623882
119,0.2682159746905032,True,0.1364930786871632
70,0.20488211759679095,True,0.1350406418214758
160,0.004687948075045134,True,0.13408220411516997
240,0.5377849450883386,True,0.13440667640639709
328,0.3137024914980815,True,0.13068885152115
59,0.10125744425280567,False,0.09373137878007615
196,0.4044846535147092,True,0.13599555434936517
122,0.5990415859660663,True,0.1355802389379816
805,0.548884499781306,True,0.1220478144020354
247,0.6934670801311402,True,0.13309737987068937
152,0.47428134291231905,True,0.1376481355438932
188,0.4517716442925752,True,0.1363134061261365
44,0.3389881915443204,True,0.1339786559099007
92,0.24316614325806168,True,0.13583005183036181
211,0.623720660321992,True,0.13524805971983925
139,0.488410431893777,False,0.10513552710122187
331,0.3871123095947187,True,0.13126233483985772
171,0.5790541880619957,True,0.13631288354398016
264,0.1841271505073177,True,0.13232898699966827
306,0.3152426979726877,True,0.13040433285217168
158,0.4759818248706987,True,0.13712480653911202
97,0.4398984224426554,True,0.13572548196718567
226,0.5260308572525116,True,0.1350268319216433
50,0.6544273800837379,True,0.1315567194256405
153,0.3655087789378556,True,0.13753406540816293
181,0.37064141016608876,True,0.1365788690224628
376,0.43214759205409015,True,0.12995494219359155
105,0.5073941355259173,True,0.13534686589229233
147,0.22383390969596925,True,0.13677360049770618
565,0.46480539207019905,False,0.09226545396746491
210,0.2888623739618819,True,0.13468958336029666
138,0.36139777931471156,True,0.13706442275577427
39,0.39871001283226826,True,0.13328346382227002
128,0.3570793235468649,True,0.13738442345610083
164,0.3550026921889587,True,0.13756651299650716
176,0.14278272937404024,True,0.13613039586485598
67,0.2766842652576256,True,0.13631347517022666
261,0.5788812778528531,True,0.1338730054222115
216,0.4572851880689553,True,0.13440362506304074
9,0.21665644434370945,True,0.09309647578587138
141,0.3600964186834234,True,0.13765418778751246
158,0.3187629318989673,True,0.1369875104672926
87,0.420784051153145,True,0.13591164232002026
112,0.35145861723745087,True,0.13734427594890725
128,0.34899018761038353,True,0.13683150316685397
104,0.24919694277479776,True,0.13554271253980746
199,0.28931396074761134,False,0.09423045475603635
902,0.5396162355485822,True,0.12054040991716583
73,0.16219696308932421,True,0.13456134471792533
232,0.3560746275406114,True,0.1344136301547991
160,0.4861432882941976,True,0.1367094611933748
116,0.41601657574052375,True,0.13710740539463553
183,0.47685653805460304,True,0.13670548649909217
139,0.39033070697530986,True,0.13797099069409732
27,0.30830097701226467,True,0.12914033562637395
78,0.3829811374329957,True,0.13541671298861513
614,0.20545821349164978,True,0.12189792675318332
124,0.25528599925300705,True,0.13620832020994544
144,0.07689795909162755,True,0.13528663994669407
511,0.5596245213220896,False,0.09729733978128101
166,0.3439325072876059,True,0.13706542818442247
101,0.4248485724402354,True,0.13573402518836103
200,0.5121514426365519,True,0.13619600556070982
141,0.44630550209248143,True,0.13816500542594795
61,0.40863154126485596,True,0.13504838224261112
243,0.29261195873476986,True,0.13326847080371088
129,0.3447757024074342,True,0.1368890227644076
142,0.4465452622685032,True,0.13824227913545142
303,0.5284188575977331,True,0.13308164161231226
184,0.4545291527496965,True,0.1363838809704434
109,0.6058838687247224,True,0.13461536927273282
146,0.37291491051324094,True,0.1380039636261433
145,0.41029540173879453,True,0.13797248394358952
166,0.3915328116012227,True,0.13769352809060895
148,0.43902256982191157,True,0.13813496393494418
220,0.43212175703624806,True,0.1347510923003569
195,0.5790238597927315,True,0.1365810474726163
175,0.48367511902281557,True,0.13701094355059001
140,0.39703755124769374,True,0.1376845290052838
86,0.3988908686115994,True,0.13576710011933388
