best -> topk = 21.0, alpha = 0.44678187654885787, beta = 0.18590730821636287, accuracy = 0.039264156656909785
topK,alpha,beta,result
87.0,0.3126110595765438,0.3154038102125956,0.03635479803441893
168.0,0.24259092267097937,0.3556346581006709,0.034010019370623375
39.0,0.024909350737202796,0.4591900275039157,0.034884264933725234
166.0,0.3121225914613929,0.11137803124866108,0.03495383254745363
43.0,0.3161458141821307,0.08326762699611767,0.03853549117907691
186.0,0.027034353349878915,0.0934907577527026,0.03369361250102186
110.0,0.2553798116986253,0.4136687171698036,0.035021982212352976
89.0,0.05122064227820372,0.176905597873048,0.03676091620323018
105.0,0.1353822590665385,0.30461932850216505,0.035439676291094784
148.0,0.3387345398120026,0.16559184056326798,0.03499869019981114
8.0,0.4818959021182063,0.023447444649812188,0.03138179513923966
60.0,0.13177752888941457,0.18017942003888185,0.03757910071602463
51.0,0.14509287022629655,0.22832362258438546,0.03783601381739107
6.0,0.16163447652144375,0.2368440057923759,0.03385067636960297
44.0,0.41135145330863343,0.01499122052350696,0.0385695580005164
31.0,0.4282862921885271,0.004050314365834244,0.03877852921054746
29.0,0.4654961961659846,0.008790118190269465,0.038581270097622605
25.0,0.49544298895513184,0.015662298206083287,0.03800812636888195
70.0,0.42490264015721385,0.00272373680693461,0.03748286845440421
125.0,0.43573881438751044,0.0550390875211314,0.03646122831219275
20.0,0.39222502495930617,0.11176611781917134,0.038887831435525586
23.0,0.381966668760323,0.06075996244141583,0.03883558362613637
2.0,0.3936361517907922,0.11881179736492256,0.01920532780253172
22.0,0.3740523730539347,0.06255989758416153,0.03865954968508776
73.0,0.43965681746469776,0.053331678742353665,0.037852392328016106
17.0,0.3762380400017156,0.1188259945010926,0.03854349017289422
59.0,0.44360308154241807,0.060903586963316346,0.03800379641779706
28.0,0.3677651003756309,0.1436009645404421,0.039016708564251164
16.0,0.3593277430841514,0.1429330418566401,0.03853138553628156
78.0,0.392511357470722,0.20226490879285142,0.037376157791268814
55.0,0.3527383716710801,0.1504377107371055,0.03817330138542469
33.0,0.46433235365137165,0.08558492216145765,0.03885780216329357
35.0,0.46271799262411584,0.13894063756331512,0.03890912470098945
36.0,0.46098699096404416,0.13818660288705917,0.03889266207475595
42.0,0.4873114191836155,0.1365363616052805,0.03878057201818222
1.0,0.4984681569411883,0.19242750369343656,0.01163334086368295
86.0,0.4080930899236407,0.11358581040638503,0.03754425282107775
39.0,0.4666773435150332,0.21270583169372398,0.03831997096809905
65.0,0.3280895582311646,0.16173869900545104,0.037885065233657624
47.0,0.2805759897043437,0.25502218903196733,0.0382608296843186
35.0,0.40832700039198594,0.10040234944635923,0.03891006198919834
18.0,0.4037365450706188,0.10283361127397497,0.038626456201403765
36.0,0.4521138907947733,0.14421360879288536,0.03878974061950785
14.0,0.4256634993456685,0.08469748837223792,0.037744884569352585
51.0,0.35260130233068293,0.12689984563472684,0.038374341695226445
118.0,0.30169652449985207,0.1582951792997337,0.03626291575140921
141.0,0.46886125152286096,0.1030226061881705,0.0358629660605542
8.0,0.40586262513964305,0.17902833704873689,0.03592340512800835
33.0,0.42068705576242366,0.13431730012757734,0.03902130287867691
171.0,0.45229497497047366,0.1703605497341106,0.03438670508747273
97.0,0.4787798937302788,0.1445415708766289,0.037103803467486235
29.0,0.4152612901146438,0.12954479915449157,0.039061690387268706
34.0,0.44822594617098294,0.08330748975146439,0.03862538272601902
46.0,0.4177618923324879,0.12925551023068368,0.03867070101147059
26.0,0.4275155877404257,0.18652326050569615,0.039064542306947246
27.0,0.43016132124889606,0.17708274336641786,0.03905098367195928
10.0,0.42460757658194037,0.18981452629218457,0.03724096398089596
63.0,0.3726618532759556,0.16501543511518696,0.038006976788899104
27.0,0.4301230987483741,0.21705282359634906,0.038888143864928386
28.0,0.3920680928090442,0.18470667027329932,0.038973168723093504
24.0,0.3376713662354297,0.24431347202730072,0.03879667014344563
12.0,0.39475341572023764,0.18167421790006935,0.037999518538279535
197.0,0.40985873497768893,0.19574485745024278,0.03351867206288365
49.0,0.3809784266245719,0.15874135115749222,0.03852099926138531
28.0,0.43633453323372146,0.09929038628107702,0.03889428830985344
21.0,0.36810451374392605,0.11903028148841352,0.038984596429332996
22.0,0.36470506001602976,0.17477930275558817,0.03895068181708985
54.0,0.38512600785655676,0.2249690507694948,0.03817935370373094
6.0,0.3495651075179991,0.12400122080192497,0.03172451016677361
43.0,0.3651562486889758,0.1532166192730734,0.038742752038402134
28.0,0.39567633094920773,0.20480900762555704,0.03874415396521026
16.0,0.37162229772410604,0.1750606396977694,0.03891745615173551
21.0,0.35647035163682095,0.18354642372088434,0.03898790497660033
30.0,0.4151342105111419,0.1918829256371861,0.038858463071646095
21.0,0.4350362572676385,0.12634933470284376,0.038987019759958615
19.0,0.4374474484797263,0.11745344155222737,0.03865021685805021
40.0,0.41756056017115273,0.13345471496464015,0.038795588657050614
1.0,0.4389776046009636,0.15065994032191055,0.01258240525778622
12.0,0.3438681620574837,0.12660763522093285,0.037756945145408456
