best -> topk=21.0,alpha = 0.4029792567152519,beta = 0.19680626151757433,accuracy = 0.03931838484259118
topK,alpha,beta,result
21.0,0.404748058679502,0.19801750003266327,0.03923442515348776
21.0,0.4062695823149341,0.19630517468448033,0.0392762048843749
21.0,0.40605826702116987,0.19686666278655252,0.039301715374333204
21.0,0.4311307592239152,0.19706925633938024,0.03914478623858403
21.0,0.4094671571692568,0.19527682634374854,0.03919970543268632
21.0,0.4031072315334919,0.19690299298986227,0.039298549576159844
24.0,0.40286119857706776,0.19379232428277457,0.03911501332757058
21.0,0.44839316586974315,0.19863248956161433,0.039081522304669505
21.0,0.40120044936868393,0.19754335687834687,0.03926172465960726
21.0,0.4029688458413156,0.19938171784046302,0.039221221653900004
20.0,0.42188786988534466,0.19688153444417242,0.039215950659975296
21.0,0.40486384390487623,0.1963463903696012,0.039317084103771514
21.0,0.4044207930523748,0.19551188551026574,0.03926413002585524
21.0,0.40740268530109885,0.19477756184311654,0.039216358891851114
21.0,0.42597012977084675,0.19794511477491142,0.03912707217699703
21.0,0.40465847226064056,0.19667103936298072,0.039302227665314465
21.0,0.4016240177456927,0.1969644395731407,0.03926925293566806
21.0,0.4042697154009854,0.19588688342105662,0.03928449759463433
21.0,0.4562536236421769,0.19443756522901012,0.03902535840357369
21.0,0.40506700594870965,0.19554528871026605,0.03923649032650601
21.0,0.4018454469900404,0.19356550320701157,0.03919952933266151
21.0,0.40389971576724,0.19614273575091623,0.0393121252871637
21.0,0.4034925672248991,0.19573806516339975,0.03926614316932073
21.0,0.40524226285693243,0.19814971230001727,0.03920872255441149
21.0,0.4001423430088694,0.19618602600027168,0.03926448622817821
21.0,0.4065486231528254,0.19663054956927117,0.03926906482882336
21.0,0.4026230359326734,0.19480593840907126,0.03924537937548583
21.0,0.40405271444498486,0.19837870129682766,0.03923962410649308
22.0,0.4195882555292826,0.1976498431182653,0.039162016025102823
21.0,0.40839759286032434,0.1959071831782662,0.039234829383090156
21.0,0.4053560814319819,0.19404264724566175,0.03923436511938835
21.0,0.40381883143722574,0.1970852523287236,0.03929321854813592
21.0,0.40252609973171577,0.19690853177743187,0.03928238039206328
21.0,0.40412708180559903,0.19570869938423743,0.039274087681803835
21.0,0.401618618149829,0.1992191623083536,0.03921731943744106
21.0,0.4060305004862821,0.19743285892456294,0.03925965548431566
21.0,0.40340396508594184,0.19499144527808193,0.03925258746968334
21.0,0.40672823006028636,0.1963879031496146,0.039274359836387655
21.0,0.4047473932936858,0.19846845875444305,0.039218087873912975
21.0,0.4012173384266104,0.1971665509003676,0.03926872063332033
21.0,0.427188699650627,0.20048772543304402,0.03911879147355751
21.0,0.40381492180424444,0.19675019337244942,0.039278618255169526
21.0,0.4029956380739313,0.19757439561043566,0.03927572861385325
21.0,0.4051096133167272,0.19602222505796504,0.03926946105387917
21.0,0.4174196689803271,0.19508114831294526,0.03913213905498377
21.0,0.40803286101549147,0.19783919920573326,0.03924329018882783
21.0,0.40221962875930123,0.2146110568082249,0.03917393479496416
21.0,0.4044936470881894,0.1966489154218202,0.03929665249861978
21.0,0.432950648355657,0.19602761828822868,0.03913409216434988
21.0,0.40645233574986833,0.1990111738657928,0.03922919018002284
21.0,0.41083565900188973,0.1943997084514593,0.03920003361909617
21.0,0.4042071179183936,0.19684573426381358,0.03928750730414933
21.0,0.4046440002620117,0.19679546002071868,0.03929587605760129
21.0,0.4242851368304335,0.1968560056963277,0.03909891218211994
21.0,0.4054441120861564,0.19791056917638433,0.039216775128273436
21.0,0.40137031887601654,0.1966691727705387,0.039279746896237665
21.0,0.402902962031812,0.1953511464185029,0.039245635520976464
21.0,0.4068954165569861,0.1984403539410696,0.03921662704416167
21.0,0.40440834828940014,0.21831406175093523,0.03921247668675873
26.0,0.4001166387264449,0.17381050013641472,0.03911386467513601
21.0,0.40272393052481625,0.2197780283030073,0.03913179485948081
21.0,0.4043561264101297,0.1958857105185868,0.03928617854941665
21.0,0.40510374208035704,0.19697362892604753,0.03929396297096808
21.0,0.4050290524603251,0.19611773486341763,0.039298309439762376
21.0,0.40580126310835873,0.19657704938067525,0.039304749097487955
21.0,0.4073213347216044,0.19535405383333887,0.0392221661903967
21.0,0.4086678810018778,0.19652280680642256,0.03924779274628046
21.0,0.40568325279275436,0.19429239833303882,0.03924162524313865
21.0,0.40581322805213804,0.19748355566120993,0.03925660174979446
21.0,0.407873283318248,0.19645684537210456,0.03925852684324755
21.0,0.4095332225692795,0.195048921185606,0.03919079237006674
21.0,0.41678690925317163,0.1968332591817439,0.03914613900695648
21.0,0.4045351006453518,0.19776036342078818,0.03923408496025801
21.0,0.4454025063220098,0.1961477376862059,0.03905031657981781
21.0,0.4035331641324276,0.19735989776725751,0.03927299506119533
21.0,0.47525623336186523,0.19859439100823625,0.03899468898334305
21.0,0.42944298278840887,0.19563275035295064,0.03914533855229823
21.0,0.4059560682692765,0.19682404053911387,0.039296336319029804
21.0,0.40591308816245436,0.19492573961928567,0.03925335590615524
21.0,0.40563601574758623,0.19649478513609533,0.03930736658422041
