best -> topk = 48,alpha = 0.30190506275582196,normalize_similarity = True, accuracy = 0.03896218506271113
topK,alpha,normalize_similarity,result
533,0.13850844854605526,True,0.029418087023212136
917,1.2159676217434232,True,0.02670053701591154
290,1.6433260461104806,False,0.004329889339744806
933,0.12637120904749044,True,0.026337445588431242
269,0.40275817349899223,False,0.020395999095079262
714,1.8464078509876796,False,0.004355440515098874
42,0.6060030861388137,True,0.037724252678261065
384,1.2035245804189807,True,0.029043864589199924
481,0.04746183376054702,False,0.01679698167214592
338,1.0662333529421588,True,0.0315992829626209
41,0.6273769244564753,True,0.03765378438177426
14,0.636630314804551,True,0.034215514737854204
20,0.7082598248280378,True,0.03556012027102728
136,0.7666786668265868,True,0.03578824373173948
131,0.49914564610200185,True,0.036805501404713246
162,0.925260734183963,True,0.03426644460810061
683,0.3738661548023593,True,0.028706003443191474
205,0.891169439772451,True,0.03460177069244115
23,0.5404804139849799,False,0.029511731880326023
432,0.29603192908937415,True,0.03104363515007436
576,0.6658841499040675,True,0.03107639039307918
114,0.4889494753429484,True,0.0371166120344835
63,0.5038465400357274,True,0.037979668163637105
248,0.2849252834729774,True,0.034105524348625876
84,0.8043133218441321,True,0.035851868966192635
207,0.5707536461008295,True,0.03543420552290491
75,0.24514587688853773,True,0.037934193489384475
182,0.2668725857598604,False,0.020260770402031916
313,0.028154405294343016,True,0.03267705319939246
93,0.14974412848873597,True,0.037324234387309675
558,0.42618384999770187,True,0.030038804092680806
61,0.6326073278300308,True,0.03718994832004078
61,0.19984794857599986,True,0.03826293322679709
804,0.28457631040721015,True,0.027588538633216805
216,0.15793004352777812,True,0.034640606874510003
85,0.4235161920957842,True,0.03765513614725221
169,0.1897552005641679,False,0.019787552205423463
285,0.0006824264473176966,True,0.033175842627222785
992,0.3730871320085001,False,0.01758063261019896
357,0.11481762992707717,True,0.03184126502786177
69,0.4959576857037197,True,0.037884069865016384
6,0.5216141579994432,True,0.027158404451439994
71,0.21543236628488982,True,0.03800616196476952
132,0.178698793513934,True,0.03646733139834356
244,0.34556797570155906,True,0.03438150512066441
75,0.21889001919717488,True,0.0377955432653203
56,0.0990820000643208,False,0.021370100552097985
151,0.4672151607712021,True,0.03643693071419773
112,0.24201668402020898,True,0.037034543424162694
50,0.34932267241522674,True,0.038640288387332196
10,0.3417812724001904,True,0.03292168263916007
54,0.07130163106920412,True,0.038280393865151266
48,0.04566306021599836,True,0.03840242178612801
42,0.04913316666458839,True,0.03839903635567288
137,0.04835994836200215,True,0.03618276671496148
