topK,alpha,result
67.0,0.24114000941097705,0.08057909764303954
90.0,0.29395981649826997,0.08108475606235699
128.0,0.29989418395213385,0.08092653079333692
109.0,0.34045765397752004,0.08119178675172103
128.0,0.3535574720157777,0.0811635274072551
110.0,0.222448300971522,0.08071213156981141
86.0,0.38582192314457614,0.08112686967563734
133.0,0.35721114532231535,0.08116580318167499
101.0,0.23431279751767575,0.08087859282585312
109.0,0.3413013998680762,0.08120771503031696
146.0,0.18402587564047243,0.08031099395697691
110.0,0.3260069605838914,0.0811843764904839
117.0,0.328147769210545,0.08112649874738967
97.0,0.3958069907317605,0.08117634274840464
72.0,0.2853890226241041,0.08078083521669968
84.0,0.35700410205068117,0.08112464654341986
119.0,0.32834290742861116,0.0811966796695321
150.0,0.3150517793782103,0.08059129080568037
121.0,0.28217967497872704,0.08095238785134826
142.0,0.2690473816098005,0.08072719198051087
119.0,0.3784867807907307,0.08118673182400091
109.0,0.34342840594020485,0.08122962160338078
98.0,0.3162998940329623,0.08109757180289304
136.0,0.370972802417998,0.08110515823603351
116.0,0.3377515675484986,0.08118580530461803
103.0,0.39975554408692043,0.08120150531400974
93.0,0.3972935960993154,0.0812656462114132
80.0,0.3762960170896265,0.08105907501487689
93.0,0.3647509208266579,0.08121702920046413
65.0,0.3664013862756511,0.08073480072384659
75.0,0.3898711890802069,0.08090994091085787
93.0,0.3436140152344556,0.08123426074870625
93.0,0.36954480252458444,0.0812218342622956
92.0,0.37997915124276,0.08125854349966029
85.0,0.3813462788090038,0.08111280234561448
90.0,0.3498529295147234,0.08120876577506998
77.0,0.39238477677566824,0.08099435238270217
61.0,0.3492560662746272,0.08069935294933632
105.0,0.3823568989792718,0.08123623722969836
90.0,0.3818366539187697,0.0811978490663165
98.0,0.39783726435828426,0.08116255247910241
105.0,0.35845768510410664,0.08122168081918746
113.0,0.3828227678248789,0.08121138954480889
102.0,0.3690820282675965,0.08121961761372254
108.0,0.3519253965240944,0.08120885132350525
125.0,0.3888519429650538,0.08114274807361249
93.0,0.3455184805376267,0.08124932364551238
95.0,0.3611646095844618,0.08127619843241454
83.0,0.36047889101642205,0.0810939028830805
89.0,0.37520658268603213,0.08116838494947455
96.0,0.3885234997238967,0.08118147305598196
95.0,0.33874785551565156,0.08122649109617222
100.0,0.3618363071741031,0.08118628604011663
87.0,0.398060743324223,0.08115343695591481
93.0,0.37515473858389325,0.08121809070200328
80.0,0.3540009427934307,0.08111127065167557
106.0,0.38439757697335214,0.08123287129018611
113.0,0.3329301643516294,0.08108907723193952
100.0,0.3460382870964453,0.08115418938397334
88.0,0.3153420624122508,0.08112602696914321
104.0,0.3679908707213095,0.08115433593660568
107.0,0.38616327274561935,0.08123776734163701
92.0,0.3765444132201498,0.08122503558549984
98.0,0.3552385745012899,0.08119321563870578
95.0,0.3895179759315662,0.08118335879288707
