cutoff_final=120
cutoff1,cutoff2,cutoff3,result
118.0,0.0,103.0,0.3469625934847976
47.0,42.0,10.0,0.28569451620423664
86.0,91.0,100.0,0.3490848818226041
119.0,25.0,20.0,0.34753052767444426
49.0,87.0,91.0,0.3408889528741775
98.0,91.0,71.0,0.350703512733743
53.0,37.0,4.0,0.2878509221459118
70.0,57.0,100.0,0.3442803891554753
5.0,1.0,20.0,0.1751495733546016
108.0,98.0,19.0,0.3494159391699588
92.0,117.0,59.0,0.3483300386193879
103.0,92.0,58.0,0.3510656686825551
91.0,72.0,60.0,0.3467586462132871
76.0,118.0,76.0,0.3456505289989996
28.0,72.0,44.0,0.31131827451490063
103.0,103.0,42.0,0.3506281718208649
70.0,76.0,119.0,0.3456531921382415
100.0,59.0,78.0,0.34857546169199394
83.0,104.0,43.0,0.34791967826324716
107.0,84.0,73.0,0.35056427118728073
32.0,109.0,55.0,0.333671705097806
102.0,98.0,38.0,0.35039338730464875
97.0,108.0,37.0,0.34944986985597287
111.0,79.0,70.0,0.35075996829829365
113.0,81.0,70.0,0.3499536401082302
80.0,68.0,88.0,0.34620092028721783
119.0,49.0,65.0,0.34824815609879145
64.0,91.0,50.0,0.3397986844802054
110.0,64.0,84.0,0.3506624692061762
91.0,79.0,110.0,0.34920156691872034
113.0,94.0,66.0,0.3502421557106841
109.0,66.0,84.0,0.3511193093250903
98.0,83.0,85.0,0.3501177060262131
120.0,51.0,96.0,0.34855827103906767
88.0,67.0,80.0,0.3469771784767422
113.0,88.0,67.0,0.35003005015522887
95.0,33.0,51.0,0.33565488186860576
104.0,54.0,94.0,0.3496439140933654
76.0,42.0,106.0,0.3445109865818305
39.0,14.0,28.0,0.2517718121332002
13.0,75.0,81.0,0.33316948124240053
111.0,64.0,85.0,0.35038532618870166
106.0,61.0,58.0,0.3496700413404627
112.0,97.0,73.0,0.3500095325125264
116.0,88.0,64.0,0.3495789515824088
87.0,70.0,88.0,0.3476534052393247
108.0,77.0,73.0,0.3507049756552519
98.0,77.0,74.0,0.35005181577746225
54.0,93.0,51.0,0.3369073529432427
106.0,85.0,70.0,0.35079409296649905
106.0,84.0,57.0,0.3508074687908048
107.0,86.0,62.0,0.3504474263188771
117.0,74.0,55.0,0.35007328905988283
93.0,82.0,70.0,0.34936832769536713
104.0,104.0,76.0,0.3511922951807818
102.0,102.0,0.0,0.3500819623095282
103.0,114.0,57.0,0.3503540548399748
116.0,107.0,79.0,0.3496320091910021
95.0,99.0,68.0,0.34996442350850365
82.0,115.0,48.0,0.34684363226540876
88.0,89.0,62.0,0.3485589317780654
109.0,78.0,77.0,0.3509091259578633
99.0,95.0,77.0,0.3509051550536694
100.0,102.0,75.0,0.35059498945855644
107.0,95.0,91.0,0.3512088064042512
101.0,96.0,99.0,0.3515058100533473
100.0,111.0,99.0,0.35103167288601655
91.0,112.0,100.0,0.34986477491345735
116.0,105.0,110.0,0.35092469692654377
115.0,111.0,114.0,0.3508058568165144
120.0,118.0,120.0,0.35048524628155925
109.0,107.0,104.0,0.35154014616965634
103.0,105.0,105.0,0.35207884145595525
102.0,120.0,103.0,0.35101155816355395
93.0,101.0,96.0,0.35001539330023285
95.0,106.0,92.0,0.35069532171482115
110.0,110.0,99.0,0.35108273611118007
110.0,96.0,105.0,0.35133844943055614
111.0,96.0,106.0,0.35121171484088726
113.0,96.0,107.0,0.35076879951700957
105.0,90.0,103.0,0.351807529857371
104.0,92.0,114.0,0.3521293186155074
105.0,99.0,114.0,0.3520293950955388
105.0,100.0,115.0,0.3519916934036059
96.0,92.0,117.0,0.35077772284629133
105.0,98.0,113.0,0.3520947018131939
103.0,99.0,114.0,0.3520256094249503
105.0,100.0,112.0,0.35205901189736294
84.0,99.0,113.0,0.3488049222358626
104.0,100.0,116.0,0.352044759689231
1.0,90.0,116.0,0.3356599188158113
105.0,100.0,111.0,0.35205106227408445
104.0,100.0,110.0,0.3519178631383642
97.0,99.0,110.0,0.35114826784229064
102.0,101.0,113.0,0.3518299022360037
105.0,103.0,118.0,0.35195798551698293
67.0,104.0,117.0,0.34468146692424895
78.0,114.0,120.0,0.3473080504247901
114.0,108.0,115.0,0.350707614327582
89.0,93.0,108.0,0.3501423877155721
99.0,103.0,112.0,0.3516027402377709
104.0,99.0,118.0,0.3519282002013824
107.0,98.0,118.0,0.3516131413101017
104.0,104.0,112.0,0.3521592256599612
94.0,106.0,111.0,0.35095970167012125
98.0,109.0,108.0,0.3511200646400676
105.0,103.0,115.0,0.35202243058779564
25.0,2.0,113.0,0.32640657346489144
101.0,93.0,115.0,0.3517587100580647
108.0,87.0,108.0,0.3512156403221045
118.0,116.0,102.0,0.3508550392132395
106.0,102.0,120.0,0.3519532925037372
112.0,104.0,115.0,0.3510168595890248
59.0,106.0,112.0,0.3416733887916228
104.0,113.0,118.0,0.3515759705173789
91.0,110.0,109.0,0.34975259142759524
97.0,102.0,116.0,0.3514167101111962
100.0,97.0,106.0,0.351410075160278
109.0,108.0,114.0,0.3513312160291079
105.0,94.0,111.0,0.352398119344473
102.0,94.0,111.0,0.3519642394920262
102.0,94.0,112.0,0.35194655425223764
106.0,91.0,13.0,0.3501063517286523
112.0,100.0,110.0,0.3508262316516902
102.0,98.0,102.0,0.35178268515048206
98.0,88.0,106.0,0.35087060344799625
107.0,93.0,115.0,0.3517778560429988
110.0,105.0,111.0,0.3513907963030015
115.0,95.0,108.0,0.35083864021997496
104.0,85.0,120.0,0.35148257774650926
96.0,100.0,113.0,0.3508575676757089
105.0,102.0,117.0,0.3520293159660815
100.0,97.0,116.0,0.3514383923624341
108.0,101.0,105.0,0.35138014961039776
102.0,103.0,111.0,0.35197640411151165
105.0,104.0,117.0,0.3521014392162247
111.0,107.0,118.0,0.35084574380969913
105.0,111.0,115.0,0.35166998297449376
108.0,105.0,120.0,0.35147532860419983
99.0,99.0,117.0,0.3512597458590797
114.0,97.0,29.0,0.34915616770383395
103.0,103.0,109.0,0.3520342765832162
104.0,102.0,113.0,0.35205520922934413
105.0,108.0,108.0,0.35179882519450456
103.0,102.0,113.0,0.3521951588714983
94.0,31.0,113.0,0.34624785535719593
99.0,105.0,109.0,0.351505060386449
109.0,101.0,104.0,0.3513720889020085
41.0,109.0,113.0,0.3352087578446685
102.0,98.0,107.0,0.35188781594261836
97.0,103.0,117.0,0.35130554913791695
104.0,104.0,114.0,0.3521812114209769
103.0,101.0,110.0,0.351951794282729
107.0,106.0,113.0,0.35154719396879003
100.0,91.0,118.0,0.3513495190703801
110.0,96.0,101.0,0.35130991544519913
107.0,103.0,111.0,0.35163511899952116
103.0,113.0,114.0,0.3519701234539809
112.0,107.0,120.0,0.3509943743150627
101.0,98.0,105.0,0.35151918929575054
96.0,101.0,109.0,0.350770312707975
104.0,103.0,116.0,0.3520994282728643
104.0,104.0,116.0,0.35216001756222765
105.0,46.0,117.0,0.34926901234024205
106.0,105.0,116.0,0.3515727067417257
109.0,109.0,112.0,0.3513155756589333
100.0,104.0,115.0,0.3514256305361558
104.0,95.0,107.0,0.3522286161071936
103.0,95.0,107.0,0.35222116858031105
98.0,94.0,107.0,0.3510155492988294
103.0,91.0,96.0,0.3516939083458232
107.0,95.0,110.0,0.3517742352918699
101.0,99.0,104.0,0.3514793576000134
74.0,101.0,112.0,0.3467575293343
104.0,96.0,108.0,0.35218806914033957
103.0,96.0,107.0,0.3521720658883033
109.0,92.0,105.0,0.35151976655747047
100.0,95.0,101.0,0.3515050523150497
107.0,97.0,107.0,0.351582471730217
111.0,88.0,111.0,0.3512385858067173
104.0,93.0,108.0,0.3521107179360214
104.0,93.0,109.0,0.3521033874715304
104.0,93.0,103.0,0.35198762738014855
101.0,89.0,107.0,0.351202345839123
98.0,96.0,109.0,0.35107133527095324
107.0,93.0,99.0,0.3517051190046711
105.0,86.0,106.0,0.35133113512106506
103.0,91.0,113.0,0.35204042231348504
95.0,97.0,110.0,0.3505941989585604
109.0,95.0,103.0,0.3516965379235857
101.0,90.0,108.0,0.35127867928371836
105.0,100.0,114.0,0.3520206600963293
103.0,99.0,112.0,0.3520119281008749
106.0,105.0,116.0,0.3515727067417257
99.0,97.0,112.0,0.35147170937268046
103.0,102.0,118.0,0.35214786321274366
108.0,102.0,119.0,0.35151399721831555
103.0,107.0,110.0,0.35192222257742134
19.0,103.0,114.0,0.3333782718953324
113.0,94.0,106.0,0.35081372204245403
100.0,98.0,120.0,0.35144596884051704
104.0,100.0,116.0,0.352044759689231
106.0,106.0,118.0,0.3516871365624798
103.0,101.0,114.0,0.35206372289116933
102.0,18.0,109.0,0.3466668921522052
97.0,103.0,112.0,0.3514130079628699
108.0,96.0,114.0,0.35153168414793506
101.0,81.0,108.0,0.35109755380244817
110.0,105.0,112.0,0.351363122577454
105.0,110.0,115.0,0.35171621940822534
103.0,99.0,110.0,0.3519612503432643
106.0,101.0,117.0,0.3516886430792309
104.0,101.0,115.0,0.3520137484006539
99.0,104.0,117.0,0.351533070255785
103.0,98.0,111.0,0.3521554944518869
101.0,95.0,111.0,0.3517624802197906
107.0,92.0,107.0,0.35176422005365
103.0,98.0,113.0,0.3521718901570187
102.0,98.0,113.0,0.35193783144942925
98.0,55.0,105.0,0.34865958406751607
103.0,93.0,114.0,0.35224041566854597
103.0,93.0,113.0,0.3522102092167837
101.0,94.0,109.0,0.3516389923528538
103.0,89.0,115.0,0.35200834281734994
108.0,93.0,111.0,0.35153443424770514
106.0,96.0,118.0,0.3519563883517413
99.0,90.0,114.0,0.3513361022355116
103.0,92.0,109.0,0.35183400908342205
105.0,97.0,112.0,0.35212814064736436
101.0,97.0,120.0,0.35161798394285054
105.0,94.0,107.0,0.35233636609152763
105.0,94.0,107.0,0.35233636609152763
108.0,93.0,104.0,0.35137877237989273
105.0,91.0,107.0,0.35209817590680126
106.0,87.0,106.0,0.3514439301386841
105.0,90.0,108.0,0.35195266160296473
111.0,94.0,110.0,0.35128706233185264
108.0,91.0,102.0,0.35174920630502676
105.0,96.0,107.0,0.3522075891963462
47.0,95.0,107.0,0.3409971583819071
101.0,92.0,103.0,0.35135948107483267
105.0,97.0,111.0,0.3521441382916764
104.0,96.0,108.0,0.35218806914033957
103.0,96.0,111.0,0.3522331463349005
102.0,96.0,110.0,0.35195836265871056
107.0,95.0,111.0,0.3518307746553437
104.0,97.0,107.0,0.3521261824897522
99.0,97.0,105.0,0.3512893309750423
103.0,93.0,108.0,0.3521228088241223
101.0,95.0,107.0,0.3516594714962171
