Try 2 with higher cutoff.
best -> 0.4228623157708209 and parameters: {'cutoff1': 231, 'cutoff2': 116, 'cutoff3': 229} (SLIM was 0.4153408133492012)
cutoff1,cutoff2,cutoff3,result
234.0,107.0,231.0,0.42238034156960663
242.0,101.0,241.0,0.4200943756953547
104.0,107.0,229.0,0.41207283494988145
233.0,130.0,220.0,0.4220765568641182
237.0,95.0,231.0,0.42168739490782686
228.0,120.0,224.0,0.4221949630966138
222.0,113.0,106.0,0.4204035399653442
233.0,122.0,237.0,0.4224122096799894
40.0,123.0,244.0,0.4049480001917775
245.0,105.0,238.0,0.4198269599720782
236.0,115.0,237.0,0.42266636011361813
226.0,116.0,246.0,0.4219444602913306
235.0,109.0,232.0,0.42257716551896735
239.0,110.0,227.0,0.42156405685680276
233.0,99.0,234.0,0.42150853248650705
249.0,117.0,238.0,0.4196795142853501
216.0,106.0,221.0,0.4205804219122535
239.0,128.0,230.0,0.4212960186683905
223.0,111.0,212.0,0.4210031656661592
230.0,121.0,240.0,0.42244677814012016
244.0,101.0,240.0,0.4196853372427792
228.0,121.0,249.0,0.4220820324113497
234.0,114.0,226.0,0.42255625198796914
235.0,115.0,244.0,0.42260073203162546
236.0,114.0,244.0,0.42241660719746993
241.0,117.0,249.0,0.42079762068803583
220.0,113.0,241.0,0.4211228122423836
227.0,106.0,235.0,0.4214638700251137
171.0,91.0,243.0,0.4172637364649759
237.0,122.0,233.0,0.4219062389606109
213.0,112.0,241.0,0.42031434818313623
243.0,98.0,246.0,0.41991522414233134
234.0,125.0,227.0,0.4226161248596829
230.0,117.0,231.0,0.4227290990304078
236.0,117.0,231.0,0.4227618252165322
237.0,117.0,237.0,0.4222678558100648
235.0,109.0,231.0,0.4225762417826386
224.0,103.0,233.0,0.42074832374909943
249.0,110.0,230.0,0.4193171429255736
229.0,119.0,244.0,0.4224591810283272
228.0,121.0,244.0,0.42204746189898235
241.0,114.0,238.0,0.4208203905752892
234.0,107.0,243.0,0.4222797391797956
230.0,119.0,230.0,0.42257647806080817
229.0,118.0,236.0,0.42254876254310036
220.0,125.0,236.0,0.42146212237048103
228.0,119.0,240.0,0.42238616344493607
226.0,119.0,227.0,0.42202900944126925
223.0,113.0,246.0,0.4211928263588312
231.0,124.0,235.0,0.4224235362081052
217.0,125.0,229.0,0.4211714458705212
230.0,115.0,233.0,0.42267236045098355
230.0,116.0,235.0,0.42274523508184714
230.0,118.0,233.0,0.42258531600467125
230.0,117.0,234.0,0.42265727949675114
223.0,117.0,231.0,0.4214285420863793
240.0,111.0,240.0,0.42109483065960324
228.0,117.0,16.0,0.420890038128906
147.0,110.0,234.0,0.41520770915569966
220.0,103.0,249.0,0.4205316855797479
230.0,120.0,226.0,0.42247280068270815
