Cutoff=120
topK[1, 20000],l2_norm[1e-5, 1000]log=True
best-> 0.36202329993039223 and parameters: {'topK': 19977, 'l2_norm': 258.87603318580994}
topK,l2_norm,result
734.0,2.6679289485755784,0.23975240728115932
18577.0,0.12092190086587794,0.17438704111136505
6970.0,44.36816357568776,0.33429893909081887
273.0,962.1670252864427,0.35723866793696074
2529.0,42.38608218269344,0.3285320455463961
4911.0,6.9363518157617365,0.2694363922341768
18561.0,0.0020641851305615347,0.10416591106077919
17450.0,0.9080947879177523,0.2417457200051126
8907.0,6.392050273172029,0.28340523537629164
809.0,0.0004334828468675602,0.07842731917811192
13313.0,480.76901795331787,0.3604198116163412
13467.0,615.7267973778747,0.35867884509713527
13448.0,732.0730318238595,0.3567502358562651
13015.0,2.395395402211371e-05,0.07948329346140151
13311.0,96.86357411781034,0.3542491917167325
10455.0,0.02268724905020959,0.11520676963847155
15169.0,176.92109748478848,0.36065168359670824
16159.0,0.36439821327142774,0.19581897905560908
16108.0,87.08044215895096,0.35402843918999827
11043.0,14.553385779434928,0.3147343572007328
8117.0,0.012357438316664124,0.1059555062327573
14474.0,459.7574416874961,0.36043168463543507
15428.0,81.19686297116178,0.3528130735638724
19977.0,258.87603318580994,0.36202329993039223
15346.0,205.75922308184212,0.36096747279202007
19584.0,19.29225473691727,0.3281858029266486
17470.0,1.1152775113057138,0.24833315535805492
19836.0,103.6764224617185,0.3556239512871558
11519.0,239.40229758233383,0.3616002845174191
11536.0,2.654409084427251,0.25516808378579314
11802.0,21.25365116800426,0.3256013728365976
17033.0,205.525087655579,0.3613920462571581
17443.0,254.07790432778944,0.36173662030242154
17863.0,5.121386390848024,0.29953292547194943
18898.0,246.62617872882407,0.36188391152920757
19262.0,31.910798492891786,0.33767034187992734
18672.0,0.0651029492398906,0.1555244516035721
5664.0,223.86181170891408,0.3591041873029117
18350.0,832.6710831723216,0.35478066855028917
16408.0,40.971129280459564,0.34160968956756105
3741.0,1.882588436494356,0.21534266934794305
17011.0,186.08336447311262,0.3608661363563357
17045.0,11.25448244607769,0.31714834843898365
19840.0,232.2951400722581,0.3618536228837611
18921.0,38.18573026461346,0.34071934007957494
19996.0,305.4956380531744,0.36119249193007863
18544.0,73.50280278145446,0.35189936623414836
9029.0,0.0003169850466447,0.0817115051012018
18042.0,441.89298403208863,0.36131434806350454
6680.0,908.2426049508872,0.35340373100600947
