collaborative item-item + log/outliers + hyper_param 4 optmization
range: topK: [5, 60], shrink: [50, 250], asymmetric_alpha: [0.25, 0.35, log=False] 
best -> similarity: asymmetric, accuracy: 0.08269473320523577 topk: 28, shrink: 152, asymmetric_alpha: 0.27865510251072656
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
37,0.08234090817232273,,13,206,0.30185804834667945,,,,,
38,0.0827083951634577,,20,217,0.27053780291876295,,,,,
39,0.08344293458009126,,17,156,0.2896243105692877,,,,,
40,0.0829669204642792,,16,161,0.2882980764716758,,,,,
41,0.08140090822576779,,10,181,0.29877252833933826,,,,,
42,0.08345891825666991,,18,143,0.2929526909120983,,,,,
43,0.08319743147316333,,16,170,0.29246596244974177,,,,,
44,0.08311536996395585,,19,142,0.2848084990311696,,,,,
45,0.0821974031374432,,13,191,0.3050369620809555,,,,,
46,0.08017516387995102,,8,237,0.2907597215113879,,,,,
47,0.08170835234722806,,56,157,0.2827283510687919,,,,,
48,0.080162990257907,,7,174,0.30133406291877607,,,,,
49,0.0832218761789243,,25,190,0.29434057833441385,,,,,
50,0.08277103883371796,,31,189,0.2984434858561077,,,,,
51,0.08363523584685785,,25,150,0.2873816852761683,,,,,
52,0.08322520703635053,,24,149,0.2947102389001315,,,,,
53,0.08326083809811431,,30,141,0.2950923763650035,,,,,
54,0.08355920772532968,,29,142,0.2868707797112246,,,,,
55,0.08326947821735022,,38,139,0.2857614160989317,,,,,
56,0.08351576957344564,,36,114,0.2859251342364884,,,,,
57,0.08357912170210585,,45,114,0.28095755890175567,,,,,
58,0.08351012810473264,,46,114,0.27998833881318747,,,,,
59,0.08339371259031088,,48,113,0.2735081071827631,,,,,
60,0.08334020318119496,,47,128,0.2792442094482237,,,,,
61,0.0835098704162538,,45,124,0.28246538404234595,,,,,
62,0.08290496480262813,,51,118,0.2816149402675794,,,,,
63,0.0833540597111465,,43,107,0.27600193916755067,,,,,
64,0.0832875066462639,,44,125,0.2844349202672916,,,,,
65,0.08363225390759882,,34,133,0.2717337766215682,,,,,
66,0.0835296783941293,,37,132,0.2699990336375726,,,,,
67,0.08331754904796669,,35,134,0.26635118990663187,,,,,
68,0.08317740895289572,,39,113,0.26816940784079923,,,,,
69,0.08288697913722774,,34,85,0.2729256335958977,,,,,
70,0.08338782552079879,,41,100,0.2797416718531461,,,,,
71,0.08346637515625151,,50,124,0.2772761512392435,,,,,
72,0.08341574361034283,,37,119,0.2868686563180999,,,,,
73,0.08354855211769892,,44,131,0.28195632637867307,,,,,
74,0.08356653231926747,,28,132,0.2793779337645942,,,,,
75,0.0828044691332498,,28,131,0.2648965389084874,,,,,
76,0.08345405181069976,,42,149,0.27479538547767945,,,,,
77,0.08360466971586951,,33,137,0.2776379983879574,,,,,
