collaborative item-item + log/outliers + hyper_param 2 optmization
range: topK: [1, 300], shrink: [0, 400], asymmetric_alpha: [0, 0.5, log=False]
best -> similarity: asymmetric, accuracy: 0.0811507342813857 topk: 17, shrink: 166, asymmetric_alpha: 0.3032655686529396
accuracy,topK,shrink,asymmetric_alpha
0.07864098641949341,43,117,0.37732678601126446
0.04459246585030416,253,4,0.1048525867107361
0.07315707009291542,166,214,0.42827216100609533
0.07477547620759786,147,124,0.45404200596565936
0.07155610588885658,276,357,0.49519745211317906
0.06934899980483021,264,385,0.25224856815106234
0.07979853343522506,75,134,0.2728614927269823
0.07672873355907735,157,228,0.07559251265805172
0.07476941285336361,5,216,0.20810823107621107
0.07860756579394108,27,152,0.17942501932031163
0.07989457531541065,84,23,0.3145797282540646
0.07922843687694613,104,4,0.3117630127667714
0.07910400732945504,79,68,0.3388657222341861
0.07605909240707577,84,297,0.2972027293733441
0.08081706834321804,117,66,0.24649427813012023
0.06876714628259135,120,76,0.018231915714292474
0.07375705863254742,202,35,0.3711406036538716
0.07116158032842855,195,277,0.3364493285145194
0.0771802335308652,52,44,0.23814956292322123
0.08038418868157643,76,113,0.27610651642653544
0.07808791961982745,105,97,0.16388793073538388
0.07918102483291219,60,174,0.29703018958275
0.07770207271680311,97,38,0.22956263414455197
0.07956979493178175,135,100,0.26571983932867504
0.0599378171806343,19,34,0.15713933774222147
0.07943686878797394,67,85,0.21874506781943115
0.0775889407096749,169,4,0.3390744158627694
0.07855015150846092,43,108,0.3845957236751071
0.0776144470817956,115,146,0.280511806276564
0.07987641872505705,80,129,0.25099127810650373
0.0775468997248119,33,56,0.22375806774578785
0.07802388967954352,96,191,0.2637061048197838
0.07895737618557383,83,116,0.29932546289135864
0.07608417678873146,143,18,0.2436147943653121
0.07949258432026429,46,135,0.18673059675071613
0.07727534892798817,296,97,0.2521535898225551
0.07691192936121621,175,57,0.31753926774520647
0.07728531297546014,67,165,0.36818414989126663
0.07423874427679089,118,252,0.4118373662040648
0.07944148722980342,77,131,0.27934482598706645
0.07928134056669976,91,191,0.23734822362602337
0.050420274710824727,1,130,0.280603487464648
0.07920800339970453,69,84,0.3208747588805918
0.07259320598698306,106,21,0.20494808759008648
0.07848770951668421,154,59,0.30360566076491335
0.08056544213065957,30,152,0.284557295471707
0.0798157249470272,24,158,0.341199765382993
0.08015823408137192,36,215,0.25782099689907423
0.07999086098344148,11,232,0.2876211689894515
0.0801418656417165,18,229,0.28625190712192883
0.08034713342155764,15,234,0.286185954571184
0.07996347707525354,31,257,0.2704737278026029
0.08001396576539604,14,212,0.22025748528186667
0.07932326400308469,39,306,0.2586123248643836
0.07860203789856153,52,250,0.29191682898977617
0.07890421094624232,56,327,0.24929585532631884
0.0796022745711153,26,234,0.31886019717118924
0.07985352977795299,11,186,0.270998481933539
0.07917294400666229,45,220,0.2987053633472778
0.07920107488791815,11,211,0.2177575677841929
0.07902445012343255,9,206,0.23135285720658197
0.08035263557156122,24,240,0.20221097990873715
0.08012891808865878,36,269,0.20245546722772884
0.08037815454636599,22,277,0.2581087800402815
0.07989480334177712,30,281,0.2398349003234785
0.07981275253280061,61,295,0.18542412263300495
0.07998040312838915,23,336,0.2537645324866411
0.05858975443173917,2,238,0.15182059055961553
0.08067694702714001,46,144,0.26276020495816366
0.07409190323106256,236,178,0.2644890385501522
0.07864925237767381,43,383,0.233900440890099
0.08029887927855418,51,158,0.25759377133057293
0.08009307073002667,55,141,0.2799108988577342
0.07974673453375991,23,113,0.24748352696735038
0.0786961063904345,70,149,0.3053474232792015
0.08046847583106877,49,156,0.2168396832499282
0.0802414045461305,128,104,0.21816988882115926
0.08050186993089499,61,118,0.23208080839927892
0.079644784550263,63,121,0.1883616454842097
0.07964157985564667,88,81,0.2305947139593733
0.07951000767776531,47,267,0.26966549805784884
0.07980494958530368,73,198,0.2444178677523942
0.07952309135058168,39,97,0.2081884491967798
0.08077472336249525,20,169,0.27341602080466354
0.08014874679013527,30,170,0.22902084026283479
0.07993089854040134,111,157,0.21317836840726848
0.07844051940939158,101,143,0.2724872731873238
0.0794882891396123,60,123,0.1935118649078999
0.0794716414883396,78,180,0.24237882373752656
0.08083540126452474,19,136,0.28827264422163706
0.08031676593953437,37,136,0.29237378462153835
0.0807753231379883,19,165,0.26101581953847264
0.08088965237749013,17,165,0.26201848219404056
0.08087255250649379,18,162,0.27566852657399077
0.07751254173958422,6,165,0.2765954799750021
0.08079753642648445,14,149,0.3113647360715106
0.0811507342813857,17,166,0.3032655686529396
0.07723681070663299,6,195,0.3085127396777637
0.08004806953869963,19,168,0.3290807642942826
0.08110339167680967,17,149,0.30310145197238836
0.08046468300598958,15,181,0.30983118597095893
0.05081619559865957,1,151,0.28268778152581936
0.0805811712064906,30,141,0.29502882894455384
0.08089870436093866,14,142,0.29315483019214006
0.0803951724942288,17,164,0.3153573797158598
0.07357432126373539,182,173,0.3038969189903567
0.07953976893952408,9,134,0.29306503636909886
0.0796668461226184,18,201,0.3293601251525101
0.08054230622397412,26,187,0.2667990539737559
0.08034501891435282,33,141,0.2971822918240901
0.08067386563889904,13,126,0.28979133155527037
0.07783957937119816,7,129,0.27615719025494073
0.08052430150764121,13,162,0.2647178054223643
0.0809467170616142,20,149,0.28871914505002044
0.07943514075387718,40,146,0.3238090948839911
0.05201498384346586,1,151,0.3111396790125781
0.08027496283936364,24,175,0.2559569781077441
0.08020431740182005,19,186,0.30263089045863123
0.08055768907650102,31,89,0.2786217949629336
0.0805295125533488,13,108,0.2874368435601322
0.0782415365188644,7,125,0.2871960526279624
0.08111757660049612,19,154,0.2688956543848706
0.0807109721710173,26,158,0.2620598279034533
0.07625862294032938,214,158,0.2502994696964993
0.08083733529278644,21,170,0.27086389803905303
0.07999472435770767,21,170,0.3414423238983439
0.08049720068244998,36,136,0.2724583387739813
0.0800389645223729,27,178,0.30139108251957036
0.07812680371884931,277,12,0.3128780676470259
0.08110662152374727,20,153,0.26237388838451764
0.08006589641357413,20,169,0.24097626965190083
0.07928298036836996,9,150,0.2760085863801042
0.08027083575426473,16,164,0.2533130988176163
0.07642681157939993,147,182,0.264633304709574
0.04865203552822012,1,68,0.28255349087859083
0.0805251406465499,35,153,0.29454221823971877
0.08031076861992638,28,192,0.24648740126269364
0.08070527245677209,41,139,0.270165081721158
0.08036665602923071,12,147,0.31861480715236046
0.08055026017996476,24,157,0.2620733262975592
0.07841308640777041,19,46,0.28392756788285806
0.07746258558909234,6,159,0.26010331906375944
0.0802334645235997,28,174,0.2983372252956412
0.08034212398510444,14,133,0.2752316106233089
0.0803438339119001,24,162,0.2511829087025398
0.07708248335324498,161,116,0.2867925826023255
0.08056914722506726,33,150,0.23885096087445679
0.08087434824391829,18,201,0.2665022202215229
0.07866841561625891,7,221,0.306321175800438
0.08111163484014167,16,168,0.2676267384736891
0.08084597612707359,18,187,0.27285778805075434
