collaborative item-item + log/outliers + hyper_param 5 optmization
range: topK: [18, 50], shrink: [100, 220], asymmetric_alpha: [0.26, 0.31, log=False] 
best -> similarity: asymmetric, accuracy: 0.08166607201687943 topk: 27, shrink: 117, asymmetric_alpha: 0.26527872982982814
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
0,0.08033143257540368,,22,205,0.2775765511831822,,,,,
1,0.07983807789971593,,39,194,0.3037683424520582,,,,,
2,0.08036899155838975,,18,191,0.2852739617149786,,,,,
3,0.08002485058469504,,41,156,0.3063187222680714,,,,,
4,0.08084332905107715,,42,164,0.2648282806329536,,,,,
5,0.08085590727639694,,35,165,0.26087232782820663,,,,,
6,0.08068967733333662,,49,156,0.26026308939935955,,,,,
7,0.08081960698530104,,45,103,0.26697349715767377,,,,,
8,0.08058425070733985,,34,214,0.28420193610990774,,,,,
9,0.08123770066213477,,35,128,0.2756370873303385,,,,,
10,0.08128192016152955,,27,109,0.27401141557118064,,,,,
11,0.08134441988462326,,28,107,0.27366458359395307,,,,,
12,0.08117800217231357,,26,103,0.27130045860461693,,,,,
13,0.0814547299426779,,28,125,0.27276552810542753,,,,,
14,0.08120928467010662,,29,127,0.2795244034479916,,,,,
15,0.08130022155861041,,31,128,0.26951711948635954,,,,,
16,0.08096710069367079,,23,140,0.28285402079892147,,,,,
17,0.08066047778116713,,18,117,0.28962197727382716,,,,,
18,0.08136005363544141,,32,140,0.2721191535044695,,,,,
19,0.08113860620306668,,32,143,0.2671852705497286,,,,,
20,0.0810349540756814,,37,180,0.2709154143329824,,,,,
21,0.08103222171027984,,24,116,0.2729734470057689,,,,,
22,0.0811961974869108,,30,144,0.2774678983495994,,,,,
23,0.08166607201687943,,27,117,0.26527872982982814,,,,,
24,0.08118807195615672,,25,138,0.2640873584562687,,,,,
25,0.08090121889381667,,21,120,0.26827599561508375,,,,,
26,0.08107813629817653,,32,134,0.26476848452236373,,,,,
27,0.08106668950108648,,29,151,0.26932358348432217,,,,,
28,0.08084587640642557,,33,175,0.2632283707972918,,,,,
29,0.08079206705577022,,21,122,0.2786992117281653,,,,,
30,0.08124815760110028,,26,148,0.2716306166938015,,,,,
31,0.0815296788596129,,28,111,0.27430853361028346,,,,,
32,0.08161578975224656,,28,113,0.2763405383100843,,,,,
33,0.08072045024764901,,23,113,0.27645556301617713,,,,,
34,0.08134131500201934,,28,100,0.27978221452583146,,,,,
35,0.08079890364214289,,20,111,0.2749355030751792,,,,,
36,0.08117498460614325,,37,123,0.2664294790183154,,,,,
37,0.08118027906501218,,25,132,0.26942096088744066,,,,,
38,0.08137260178803331,,30,114,0.2618703663748519,,,,,
39,0.08142775398514103,,27,109,0.26015746228713277,,,,,
40,0.07952257449863655,,50,204,0.2882486733371011,,,,,
41,0.08120797770226322,,27,106,0.2604971608857402,,,,,
42,0.08166195588482696,,28,122,0.2653944352412355,,,,,
43,0.08120830255908013,,30,122,0.2660994016778324,,,,,
44,0.08114616876431265,,35,131,0.26502247652862004,,,,,
45,0.08086611728757431,,24,100,0.27487108159878443,,,,,
46,0.08137466941565696,,28,125,0.26780582479434056,,,,,
47,0.08148063685593508,,26,118,0.2633893336304495,,,,,
48,0.08062275763881288,,42,107,0.2625300192022586,,,,,
49,0.08144600809436005,,25,118,0.2632581897638664,,,,,
50,0.08099970142890012,,22,112,0.2655120822007382,,,,,
51,0.08133238350714345,,29,119,0.2698964751135701,,,,,
52,0.08134182941743669,,26,127,0.2678485622110185,,,,,
53,0.08127323766870063,,31,134,0.272219225293835,,,,,
54,0.08137672399473576,,47,105,0.27293945102107714,,,,,
55,0.08145060835911529,,27,115,0.2633640905413835,,,,,
56,0.08114204904953355,,34,164,0.2703309924994434,,,,,
57,0.08110376928850366,,24,128,0.26634527973738603,,,,,
58,0.08046505087139881,,19,157,0.2735874865092089,,,,,
59,0.08150420873733256,,28,110,0.2621193068969402,,,,,
60,0.08143908489561555,,29,103,0.26144063772835646,,,,,
61,0.08132009198683421,,31,118,0.26502966845119175,,,,,
62,0.08166361075081399,,26,111,0.2678555248187309,,,,,
63,0.08085844442062363,,23,110,0.2624379374127354,,,,,
64,0.08158220866213067,,26,115,0.26792169351068074,,,,,
65,0.08125499456106508,,28,103,0.26925681574891996,,,,,
66,0.08155261779872255,,25,109,0.26756403572683535,,,,,
67,0.08146701905919783,,25,114,0.26676875867628547,,,,,
68,0.08048730013041037,,22,219,0.27133036971263874,,,,,
69,0.08144474278715635,,26,122,0.26834703549927097,,,,,
70,0.08063794765100944,,24,170,0.2681295732678668,,,,,
71,0.08154619177408973,,27,111,0.26483812604662166,,,,,
