collaborative item-item + hyper_param 1 optmization
best={'similarity': 'tversky', 'topK': 23, 'shrink': 37, 'tversky_alpha': 1.592038852030678, 'tversky_beta': 1.8276602073692012}
similarity =  ['cosine', 'dice', 'jaccard', 'asymmetric', 'tversky', 'euclidean'],topK= [1, 10000], shrink=[ 0, 1000], asymmetric_alpha,tversky_alpha,tversky_beta=[0,2,false],normalize= true
similarity,topK,shrink,result,asymmetric_alpha,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode,normalize
tversky,1617,51,0.07830547647482171,,1.6045877491064717,1.718275109109736,,,
tversky,701,3,0.07815325582102597,,1.7484937577195054,1.9170464157770901,,,
tversky,1421,71,0.07783497190423562,,1.9023958985201137,1.6498846083196006,,,
tversky,1095,41,0.07880620094092852,,1.4774710002630433,1.9130033757122784,,,
tversky,522,166,0.07429332617746483,,1.7435102217629077,1.7612651019240766,,,
asymmetric,207,81,0.07458700259796966,0.595240146247945,,,,,
jaccard,1790,26,0.07856919304487725,,,,,,
tversky,2647,103,0.07401350897197688,,1.634285644697714,1.609790654476964,,,
cosine,756,132,0.0646432863930963,,,,,,
tversky,1089,50,0.07835444571172206,,1.718275424129181,1.4395199306895718,,,
tversky,537,50,0.07933776056280194,,1.932612916373405,1.9272992605504717,,,
tversky,9,1,0.07812121667961512,,1.9316512088013746,1.9361972568394494,,,
tversky,405,83,0.07832032285718632,,1.9052643556196571,1.9531640449935286,,,
tversky,6225,23,0.07101487054607943,,1.9824772251560931,1.7794272113197498,,,
tversky,201,54,0.07992361083120074,,1.76022806200397,1.6974931350680165,,,
euclidean,7689,52,0.02997800723731735,,,,False,log,True
tversky,7121,416,0.06045405392490044,,1.7828862125247589,1.977369092011046,,,
tversky,206,97,0.07848464328922931,,1.9352823024398962,1.7731291755090877,,,
tversky,571,65,0.07814639374725273,,1.6843842880845203,1.6837630396885757,,,
tversky,320,19,0.08049502454959216,,1.6579673348405493,1.7052900719146744,,,
tversky,380,16,0.08021283981227392,,1.7794012056724564,1.612340774082631,,,
tversky,369,14,0.0802910351538679,,1.772143524385648,1.6588328262430025,,,
tversky,358,18,0.0803981753677101,,1.7813536287410414,1.60163988573725,,,
tversky,880,15,0.07938955405790975,,1.6725527345171407,1.6113555964814992,,,
tversky,298,78,0.07856191359693651,,1.7722543472464076,1.6747601600918363,,,
tversky,18,17,0.08226726423233446,,1.807261081825275,1.6139900154838966,,,
tversky,7,25,0.08011902357069592,,1.7974831340091977,1.5756688156406533,,,
tversky,90,22,0.08112668147117717,,1.784641947041549,1.5925832203493533,,,
tversky,8765,2,0.06744766575229953,,1.8393868240487117,1.5903719890129415,,,
tversky,126,21,0.08073561048313703,,1.7756792846506324,1.5609020454037466,,,
tversky,191,21,0.08012223807028172,,1.758739865028923,1.5627734368465687,,,
tversky,732,29,0.07964853516718559,,1.668081546704041,1.5246606201654704,,,
tversky,149,2,0.07783781077045025,,1.8537772296650914,1.6181245883654212,,,
tversky,402,92,0.07746224464990219,,1.7628181201896294,1.4707564561337332,,,
tversky,584,19,0.07956925301416574,,1.689635775782757,1.560426930866525,,,
tversky,7,112,0.07780047785349571,,1.9807702854913598,1.6572206379219871,,,
tversky,337,72,0.07866457543369726,,1.826526927272052,1.4995506581494786,,,
asymmetric,927,37,0.03977903506773627,1.3655675694340417,,,,,
jaccard,727,0,0.07614685263659512,,,,,,
tversky,56,23,0.08112726517082487,,1.8077701725269968,1.5701011449520246,,,
tversky,188,20,0.08003246872406339,,1.7856688194946846,1.597561955298806,,,
tversky,477,42,0.0791720000680803,,1.862307198790849,1.3864575592070323,,,
tversky,6,71,0.07918453293098372,,1.7403955236666768,1.5514656454557798,,,
tversky,288,19,0.08049391547153752,,1.6275362678451974,1.6635308092278265,,,
cosine,374,55,0.07329225871251421,,,,,,
tversky,604,88,0.0766807605706797,,1.5792173530716531,1.685311223926093,,,
tversky,989,32,0.07928856089029432,,1.6315778027352468,1.6359748535863807,,,
tversky,319,60,0.07962741763386624,,1.8258925581149914,1.8376555981969025,,,
euclidean,739,120,0.029691271841350585,,,,True,exp,False
tversky,157,18,0.08079499617767472,,1.7047724281868426,1.717248873073699,,,
tversky,237,15,0.08018871266117289,,1.709090720340299,1.6824044581177993,,,
tversky,504,45,0.0793791324732676,,1.6450140772459814,1.7937004879433807,,,
tversky,5,0,0.07391835955180566,,1.886430979761744,1.7140267458395946,,,
tversky,188,32,0.08066734369101812,,1.5737639859007557,1.631617038010115,,,
tversky,142,67,0.08026838154709179,,1.5502366737736712,1.7353197949898365,,,
tversky,631,41,0.07925333343488433,,1.7017800298525858,1.6569786154437403,,,
tversky,199,845,0.06610681780175179,,1.61310473085714,1.8031253279951487,,,
tversky,477,629,0.06720648627895025,,1.9407279429561293,1.709036524450231,,,
tversky,1126,83,0.07687052518826056,,1.5788189077936141,1.8734780156646962,,,
tversky,2,65,0.07043192672750034,,1.5475637660255972,1.7531806086186,,,
tversky,175,36,0.08061618420221371,,1.6589184253702507,1.6425882910124747,,,
tversky,267,40,0.08012883666108125,,1.657069474458305,1.641588900648968,,,
tversky,815,25,0.0796419034446592,,1.7111614062427891,1.5191796263306312,,,
tversky,399,38,0.08018420851686238,,1.8252599770392508,1.9989454115881795,,,
tversky,4,102,0.07539399204815901,,1.8766861201907132,1.6455575897155643,,,
tversky,597,2,0.07718207070722735,,1.7345416667468576,1.5791955690773436,,,
tversky,193,60,0.079668286016433,,1.6368698688900178,1.7189543963181728,,,
jaccard,367,80,0.07586449846584774,,,,,,
asymmetric,832,21,0.07698152600210476,0.650521666369009,,,,,
tversky,165,61,0.07957569145426367,,1.5565963578786306,1.7295175639840412,,,
tversky,179,34,0.08078149751345305,,1.6786809482877687,1.8016355955240715,,,
tversky,512,35,0.0795401929469864,,1.6774776921852805,1.7798914580169058,,,
tversky,297,19,0.08047148954369862,,1.800277868331655,1.8330222451631368,,,
tversky,204,0,0.07705554954929714,,1.8013777478925193,1.8228347113413947,,,
tversky,637,44,0.07947407972571961,,1.7260932790316543,1.830082431695947,,,
cosine,27,94,0.07607828029161237,,,,,,
tversky,323,24,0.08067930261915116,,1.6077876686196781,1.8950381083520305,,,
tversky,311,23,0.08082052394521305,,1.603783693494659,1.9566312927534666,,,
tversky,193,56,0.08007294046544335,,1.6333273314971701,1.9547803155150594,,,
tversky,457,29,0.0800337453401593,,1.617225961760366,1.9089058707386923,,,
tversky,309,21,0.08063769652699261,,1.9521115461175798,1.899492977306255,,,
tversky,1,21,0.056753274331571596,,1.9543698495105921,1.8893606183929055,,,
tversky,229,49,0.08022120317077666,,1.9018037513013297,1.9586890265934989,,,
tversky,573,77,0.07819388106720757,,1.9607483372980092,1.884917777917371,,,
tversky,779,16,0.07968087285293039,,1.5230720503107313,1.9359129841461198,,,
euclidean,339,37,0.043179699866121385,,,,True,lin,True
tversky,132,3,0.0799125360447479,,1.6007551666917499,1.8697063583140578,,,
tversky,519,56,0.07909355574877416,,1.9899612607649655,1.9792881400154245,,,
tversky,300,467,0.06965152265799772,,1.8409033142999558,1.9110409061140934,,,
tversky,389,21,0.08032638380907263,,1.6737963931245239,1.8103296216110727,,,
tversky,143,36,0.08115702770829343,,1.75096658893002,1.6036513926342815,,,
tversky,8,42,0.08201317056722228,,1.7525356655847775,1.9406441907552148,,,
tversky,20,36,0.08325108720959658,,1.7357568017152074,1.8556707792328613,,,
tversky,113,45,0.08216407187402347,,1.7334030460069767,1.9403210519231082,,,
tversky,98,70,0.08117175227644806,,1.733002846008256,1.9398393714973392,,,
