collaborative item-item + hyper_param 3 optmization
range -> similarity = "tversky", topK = [15, 90], shrink = [20, 50],tversky_alpha = [1.6, 1.95] tversky_beta = [2.8,3.5]
best -> {'topK': 22, 'shrink': 24, 'tversky_alpha': 1.60056884868048, 'tversky_beta': 3.47610354638236, 'result'= 0.0872605756877479
accuracy,topK,shrink,tversky_alpha,tversky_beta
0.08568659467208649,28,26,1.8232837074328043,3.014986178814257
0.08567536094059797,41,20,1.6099100788775935,3.0440825362951385
0.08473501928933296,62,28,1.7383757933314548,3.4535725836180453
0.08398278758522532,69,38,1.6751934793857095,2.951307143885116
0.08378391094639016,73,31,1.7560006299982256,3.395137450718309
0.08416421262699861,65,37,1.7481943498792016,3.132250997800622
0.08530411259349807,38,31,1.7096510725355953,2.989588313109516
0.08532020137535222,39,23,1.7185532245778428,3.1099475544663404
0.08365157249499376,82,46,1.762659495917043,3.428691325172825
0.08457625590477832,60,48,1.9190872282641198,3.3401332582244305
0.08509716980468211,16,26,1.8394818091359026,2.811557534092312
0.08637036889645926,29,20,1.6063905626820045,3.236463277597721
0.08587352305152046,18,20,1.828066409173933,3.250711196855102
0.08621397609560845,16,21,1.6280138865727147,3.2694601255833
0.08620876525863225,27,43,1.6018242414528205,3.245350611840773
0.08641924977743694,29,24,1.6505087967844576,3.2525460382603972
0.08523467334323581,49,32,1.6590009090098858,3.1977509625292995
0.08642877663888708,29,24,1.6583271385935932,3.311143526091211
0.08552492140479456,47,24,1.683962923327793,3.3297632776630404
0.08655758075513346,31,29,1.6483907424803987,3.4893152472286006
0.08552095290005454,53,34,1.645233507650581,3.461714448547503
0.08642344805058744,32,28,1.6489934814116392,3.4932711206275173
0.08612805006286045,35,28,1.6882330620256745,3.4916803102295404
0.08664359549921255,23,28,1.6372496231245843,3.3764122031850694
0.08650276487906967,21,34,1.6309353199915577,3.3987103804959538
0.08622041712059109,22,40,1.6321538349473337,3.3997998614949063
0.08622404080675541,22,34,1.7032452559049922,3.395204417797866
0.08560730235467313,44,30,1.6263444554827005,3.3662639039880973
0.08630289557611291,22,36,1.6764551841794315,3.430038865063748
0.08593013093215496,24,40,1.7834246484062481,3.374930216283435
0.08604733419362273,34,33,1.6244629668036743,3.310577637611532
0.08649485141236278,25,26,1.6705159521670234,3.3326377787322135
0.08710504291094437,20,26,1.6010313168782697,3.4965310148322604
0.08702647901003398,20,29,1.6139619534043022,3.4886393667742683
0.08622545232084744,15,29,1.60031166940125,3.496563836667831
0.08690176725340598,19,27,1.6206258748575313,3.445189048467434
