num_factors,sgd_mode,batch_size,item_reg,user_reg,learning_rate,result,epochs
164,adagrad,128,2.6991734214070123e-05,4.077908889783234e-05,0.00017097161567663455,0.0001360515551959727,100
95,adam,2,0.001191846411321528,0.00020565646656970832,0.002952053297483767,2.623831355627472e-05,5
102,adam,32,1.9349909291429567e-05,5.284830949982115e-05,0.002778951128873133,4.424153695998356e-05,10
175,sgd,2,3.1316235353185315e-05,0.0001382243208843317,0.0020918934961213055,0.00010156209867981715,5
133,adagrad,64,0.0005655038476538612,0.00030214654689974965,0.0025694606492895583,0.0012870940245030037,5
174,adagrad,2,0.00012620396968936366,4.426567979640819e-05,0.0012618258339300583,0.00015437182154415163,5
149,adagrad,4,0.0015979986970447535,0.0005687583410689602,0.00010932024078262003,0.0001714479953254225,100
100,adam,16,8.190933246088165e-05,1.9797017570860156e-05,0.0010735635732954966,4.7163147891303244e-05,5
110,sgd,4,2.4856008843856227e-05,0.006757618501933667,0.0006983393220704407,0.00012072513741203061,15
14,sgd,128,0.0005904438447348146,0.001103646911348552,0.00011591551845894928,0.00011870248369034779,20
39,adagrad,64,0.005487390577306088,1.2471900134475908e-05,0.02012487587934474,2.095292674782966e-05,5
138,adagrad,1024,0.0016956569059326163,0.000943876002808891,0.014491050317349347,0.0007344841590897402,5
140,adagrad,1024,0.00035992934237276354,0.001140037080343846,0.015276990341583677,0.0006839780140751,5
67,adagrad,64,0.0037234694261732287,0.0003963848180239021,0.09001825277511874,3.5508809780654444e-05,5
194,adagrad,8,0.008971017858331517,0.003088608514720839,0.006434208055271655,6.970931576514102e-05,5
125,adagrad,1,0.0015437461381315658,0.00019349794187675313,0.007087200159732199,4.705479144192736e-05,5
79,adagrad,256,0.00047444768284019885,0.0008617423554267995,0.035541171355265654,0.00018162547516309654,5
130,adagrad,512,0.00018398639692592976,0.00245378477773355,0.007285178556230575,0.001771760382955773,5
63,sgd,512,0.00017511330165512518,0.002965738835436635,0.0051090438227905715,0.00010582010582010582,10
120,adam,512,7.210757823728015e-05,0.009952010872487347,0.0004166146007204549,0.0008462759092310042,5
193,adagrad,512,0.00020949734468811757,0.00040599195327950435,0.005640329792625173,0.0012911313055427114,5
190,adagrad,512,0.00023088297467730655,0.0003239188311508123,0.006096401286091512,0.0012327071133199764,5
158,adagrad,512,0.000280106380379653,0.00012029805185799447,0.001961259514598817,0.0016666265346483781,40
156,adagrad,512,0.0002690376624673465,0.00010000929715076824,0.0016007454737336376,0.0016013798993167912,45
158,adagrad,512,0.00028656335908633666,9.701677204966651e-05,0.0015518145035690685,0.0016563085927466987,60
173,adagrad,512,0.00011351901454683385,8.840399552606848e-05,0.0007877904914171271,0.0011753945780037997,100
154,adagrad,512,5.507791311543255e-05,8.261532832390343e-05,0.0014837528101033484,0.0016783250179791445,55
146,adagrad,256,1.224236350856692e-05,0.00015370991232240838,0.0038433594710807046,0.001908506222068119,5
121,adam,256,1.3475000398205827e-05,0.0001881030938552586,0.003434250070858754,5.6911215133302514e-05,35
146,sgd,256,1.0622339235568933e-05,5.061600173295773e-05,0.0003128769608364991,8.949841398263728e-05,5
89,adagrad,8,3.527061399526418e-05,3.223770042809511e-05,0.010021009064137559,7.602609544357118e-05,5
165,adagrad,1,4.8135001270503585e-05,7.317676560792113e-05,0.003469205714050885,7.345764627318027e-05,5
131,adagrad,16,5.2478955539021105e-05,0.0001359616071547665,0.001969031726425698,0.00045533787948836456,5
164,adagrad,32,1.9817509257659927e-05,6.188044354820237e-05,0.004169126637334864,0.0003254225098885292,5
181,adam,128,1.6144562127767535e-05,0.00013360155695319267,0.0024526390954524423,4.810625032105616e-05,15
115,adagrad,256,3.254731346186046e-05,0.00023595463539329998,0.0028784341265659314,0.0020657635357271323,10
105,adagrad,256,2.8366000603921748e-05,0.00023886170527810929,0.003101275150502388,0.0024225050726871212,10
110,adagrad,256,1.0368221494093638e-05,0.0002493567224551836,0.0033373631657028584,0.002305291486875234,5
108,adam,256,1.0236824783509155e-05,0.0002138651123796394,0.002840841631898595,6.165481969486825e-05,15
91,sgd,256,2.7459285885115998e-05,0.00024148499968180718,0.003921674937865056,0.0001294859570041609,5
112,adagrad,256,1.814005625627016e-05,0.00016903431902434807,0.0024995743522131797,0.002401162865361905,10
113,adagrad,256,2.007723613278555e-05,0.00016783795733766346,0.0023135583904792694,0.0023260076347151686,15
113,adagrad,256,1.959959309327135e-05,0.0002699307955369124,0.002219061132767455,0.00223707909539221,15
104,adagrad,256,1.9011888810434928e-05,0.0003125949848862611,0.0010299200347532978,0.0024449027520932957,75
97,adagrad,256,1.5573037085070666e-05,0.0005329706469391929,0.0011279219739095685,0.0026615193340011434,55
76,adagrad,2,1.7059627640967476e-05,0.0004919279235596482,0.0009570741436292526,0.00017123529562849951,5
100,adagrad,256,2.3521544972764098e-05,0.0006393787308413003,0.0010322612155158751,0.0025183443455591634,70
101,sgd,256,2.8263842588167383e-05,0.0006133748751776507,0.0011166635678227798,0.00012400793650793647,20
49,adagrad,256,4.026258326041249e-05,0.00033353911950718127,0.0005846079900566369,0.00407120062156471,100
47,adagrad,4,3.792889768278354e-05,0.0006579602763183507,0.0005779147008529482,0.0004312947873324082,15
