IALS optimized for recall,step1
num_factors[100 , 200], confidence_scaling= "log",alpha[1e-2,10]log=True,epsilon[1e-2,10]log=True,reg[1e-2,10]log=True
best-> 0.10971570582873381 and parameters: {'num_factors': 189, 'alpha': 0.3988006942899134, 'epsilon': 0.027591324622134997, 'reg': 0.4723681710043229}
num_factors,alpha,epsilon,reg,result,epochs
156.0,0.37121138537705584,0.35194576837234415,0.44212615527034493,0.10356265049120546,21.0
140.0,0.12322132296119209,0.15634746260950644,0.028973319881309485,0.09814109699081515,45.0
168.0,1.5172817957491633,0.7541633707186696,1.5465797400708685,0.1091846455214506,66.0
178.0,0.1892223100408259,0.07407190151146681,0.11911973528135077,0.10286406541452067,12.0
189.0,0.3988006942899134,0.027591324622134997,0.4723681710043229,0.10971570582873381,9.0
180.0,0.29907800905047727,3.5992053530083803,0.05806393671738446,0.0949608312968384,12.0
113.0,0.04884441864288856,0.11525788584621317,0.43295982371073655,0.09417953003341087,36.0
179.0,0.30283681696480225,0.018508666738634362,1.3322955159656094,0.1086328509133568,57.0
109.0,0.014776147740035963,0.015590844889819986,2.084621110424176,0.09421864786480726,24.0
111.0,0.3411198352963435,2.068352195565977,2.9296595376386714,0.09658497674575642,24.0
